"water_height","smooth","date"
4.86097,4.87373740271493,2021-09-07 17:50:00
4.7411,4.74346178280543,2021-09-07 18:00:00
4.60127,4.60416080542986,2021-09-07 18:10:00
4.46931,4.45396826244344,2021-09-07 18:20:00
4.29812,4.29361937556561,2021-09-07 18:30:00
4.13115,4.12151960180995,2021-09-07 18:40:00
3.94818,3.94091129411765,2021-09-07 18:50:00
3.75427,3.75261478733032,2021-09-07 19:00:00
3.55592,3.5552569321267,2021-09-07 19:10:00
3.35091,3.35375666968326,2021-09-07 19:20:00
3.14954,3.14947119457014,2021-09-07 19:30:00
2.94046,2.94756461538462,2021-09-07 19:40:00
2.74498,2.74815457013574,2021-09-07 19:50:00
2.55166,2.55363990045249,2021-09-07 20:00:00
2.35508,2.36252447963801,2021-09-07 20:10:00
2.17708,2.17739895022624,2021-09-07 20:20:00
2.00273,2.00009321266968,2021-09-07 20:30:00
1.83817,1.83012999095023,2021-09-07 20:40:00
1.67745,1.66830432579186,2021-09-07 20:50:00
1.51462,1.5144296561086,2021-09-07 21:00:00
1.36177,1.37182385520362,2021-09-07 21:10:00
1.24626,1.24217136953243,2021-09-07 21:20:00
1.13199,1.12453326696833,2021-09-07 21:30:00
1.02295,1.02312638914027,2021-09-07 21:40:00
0.93678,0.944180174962292,2021-09-07 21:50:00
0.87601,0.886881981900452,2021-09-07 22:00:00
0.84218,0.848366524886877,2021-09-07 22:10:00
0.823466666666667,0.832207695324283,2021-09-07 22:20:00
0.82552,0.83872392760181,2021-09-07 22:30:00
0.87187,0.870688117647058,2021-09-07 22:40:00
0.94063,0.923085478129714,2021-09-07 22:50:00
0.98178,0.993537543357518,2021-09-07 23:00:00
1.05646,1.08052005449018,2021-09-07 23:10:00
1.19306,1.18250875268739,2021-09-07 23:20:00
1.3138,1.29797937910891,2021-09-07 23:30:00
1.43488,1.42540767491439,2021-09-07 23:40:00
1.55,1.56326938126358,2021-09-07 23:50:00
