"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"889","masi","","Oman","Masirah ","SXOM33","16288114","0.97","2024-06-06 23:02","88d","6'","  [open]  ","58.8667","20.6833"
"890","masi2","","Oman","Masirah ","SXOM32","16288114","3.16","07:20","2h","6'","  [open]  ","58.8667","20.6833"
"891","mata","","Perú","Matarani,Arequipa PE ","SEPO40","354176C2","4.86","2024-08-16 16:50","18d","5'","  [open]  ","-72.1088","-17.0009"
"893","matr","","Egypt","Marsa Matruh ","bgan","EG-MATR-00","3.85","2024-08-14 16:42","20d","1'","  [open]  ","27.245556","31.362222"
"895","maya","","Puerto Rico","Mayaguez PR ","SXXX03","336633DE","-2.85","07:15","2h","6'","  [open]  ","-67.1588","18.2176"
"898","MC41","","Italy","Marina Di Campo ","web","","0.19","07:23","2h","5'","  [open]  ","10.238333333333","42.742633333333"
"899","ME13","","Italy","Messina ","web","","-0.03","07:23","2h","5'","  [open]  ","15.5635","38.1963"
"900","meji","","Chile","Mejillones CL ","SXCH40","01032040","3.38","07:25","2h","5'","  [open]  ","-70.450663","-23.097712"
"901","meji2","","Chile","Mejillones CL ","web","","3.33","07:24","2h","5'","  [open]  ","-70.450663","-23.097712"
"902","meli","","Spain","Melilla ","ftp","","0.3","07:22","2h","4'","  [open]  ","-2.92853","35.29061"
"903","ment","","Turkey","Mentes ","web","","1.79","07:24","2h","2'","  [open]  ","26.716642379761","38.427688598633"
"904","mera","86","Japan","Mera ","SWJP40","MERA","2.59","07:19","2h","10'","  [open]  ","139.83","34.92"
"907","mhav","","UK","Milford Haven ","ftp","","6.57","07:00","2h","15'","  [open]  ","-5.05","51.71"
"908","mhpa","","Panamá","Marcus Hook PA ","SXXX03","3357A236","","","","1h","  [open]  ","-75.41","39.81"
"909","midx","106","USA","Midway ","web","3363A17C","0.36","07:32","2h","6'","  [open]  ","-177.356","28.207"
"910","midx2","106","USA","Midway ","SZPA37","SNDP5","0.37","07:14","2h","6'","  [open]  ","-177.356","28.207"
"911","mill","","UK","Millport ","ftp","","0.89","07:00","2h","15'","  [open]  ","-4.91","55.75"
"912","mimz","","France","Mimizan ","ftp","","2.36","07:24","2h","5'","  [open]  ","-1.2951","44.2107"
"913","mimz2","","France","Mimizan 2 ","SZFR01","FR0614","2.41","07:18","2h","6'","  [open]  ","-1.2951","44.2107"
"915","mini","29","India","Minicoy ","ftp","43370","1.25","07:19","2h","10'","  [open]  ","73.05","8.28"
"916","mins","104","Japan","Minami-Tori-Shima ","SWJP40","MINAMITORISHIMA","2.02","07:19","2h","10'","  [open]  ","153.9783","24.2822"
"917","miqu","","France","Saint Pierre et Miquelon ","SZFP01","18E7108E","0.99","07:13","2h","6'","  [open]  ","-56.376137","47.101251"
"918","mnkt","","New Zealand","Manukau ","SZNZ01","MNKT","3.39","07:22","2h","3'","  [open]  ","174.5117","-37.0466"
"919","MNPL","","Italy","Monopoli ","bgan","","","","","0.016'","  [open]  ","17.30782","40.95639"
"920","mnts","","Montserrat","Little Bay ","SOTI10","C7905E3A","0.72","07:25","2h","5'","  [open]  ","-62.2059336","16.80348528"
"921","mnza","","Mexico","Manzanillo ","SOMX10","0101854C","6.81","07:02","2h","1h","  [open]  ","-104.3005333","19.06055"
"922","moal","","USA","Mobil AL ","SXXX03","3369A02E","","","","6'","  [open]  ","-88.0433","30.7083"
"923","moku","","USA","Mokuoloe,Oahu ","SZHW36","MOKH1","0.32","07:13","2h","6'","  [open]  ","-157.793","21.437"
"924","momb","8","Kenya","Mombasa ","SXXX33","22ADF72A","3.7","07:15","2h","15'","  [open]  ","39.65","-4.067"
"925","mona","","USA","Mona Island PR ","web","3365E2B8","0.22","07:31","2h","6'","  [open]  ","-67.9383","18.09"
"926","mona2","","USA","Mona Island PR ","SXXX03","3365E2B8","-1.94","07:19","2h","6'","  [open]  ","-67.9383","18.09"
"927","monc","","Monaco","Monaco, Fontvieille harbour ","ftp","","0.64","07:24","2h","5'","  [open]  ","7.42158","43.72867"
"928","monc2","","Monaco","Monaco2, Fontvieille harbour ","SZFR01","FR022","0.64","07:09","2h","6'","  [open]  ","7.42158","43.72867"
"929","mont","","USA","Monterey ","web","33630184","1.41","07:31","2h","6'","  [open]  ","-121.8867","36.605"
"930","mont2","","USA","Monterey ","SZPZ34","MEYC1","1.5","07:13","2h","6'","  [open]  ","-121.8867","36.605"
"931","mony","","USA","Montauk, NY ","web","33401412","0.2","07:33","2h","6'","  [open]  ","-71.96","41.0483"
"932","mony2","","USA","Montauk, NY ","SXXX03","33401412","-3.95","07:21","2h","6'","  [open]  ","-71.96","41.0483"
"933","motr","","Spain","Motril2 ","ftp","","0.54","07:22","2h","4'","  [open]  ","-3.5236","36.72024"
"935","mpaw","","Belgium","A2 ","web","","0.79","07:15","2h","5'","  [open]  ","3.118333333","51.36055556"
"936","mpcw","","Belgium","Westhinder ","web","","0.8","07:15","2h","5'","  [open]  ","2.437777778","51.38861111"
"937","mphw","","Belgium","Bol van Heist ","web","","0.84","07:15","2h","5'","  [open]  ","3.198611111","51.38972222"
"938","mpsw","","Belgium","Scheur Wielingen ","web","","0.84","07:15","2h","5'","  [open]  ","3.298611111","51.418333333333"
"939","mpww","","Belgium","Wandelaar ","web","","0.85","07:15","2h","5'","  [open]  ","3.045833333","51.39444444"
"941","mrms","","Turkey","Marmaris ","web","","1.76","07:24","2h","2'","  [open]  ","28.384845733643","36.837989807129"
"942","MRTM","","Italy","Marettimo ","web","","0.17","07:27","2h","0.25'","  [open]  ","12.076653","37.966238"
"950","mumb","","UK","Mumbles ","ftp","","8.91","07:00","2h","15'","  [open]  ","-3.98","51.57"
"951","murc2","","Spain","Murcia ","web","","2.45","07:20","2h","10'","  [open]  ","-0.9736111","37.5963889"
"953","musc","","Oman","Muscat ","SXOM33","262D700E","0.28","2024-08-25 08:47","9d","15'","  [open]  ","58.56666667","23.63333333"
"954","musc3","","Oman","Muscat ","SXOM32","262D700E","9.86","07:20","2h","5'","  [open]  ","58.56666667","23.63333333"
"955","NA23","","Italy","Napoli ","web","","0.5","07:23","2h","5'","  [open]  ","14.2692","40.8397"
"956","nafl","","USA","Naples FL ","SXXX03","33676158","","","","6'","  [open]  ","-81.807","26.13"
"957","naga","83","Japan","Nagasaki ","SWJP40","NAGASAKI","1.57","07:19","2h","10'","  [open]  ","129.87","32.74"
"958","naha","81","Japan","Naha ","SWJP40","NAHA","2.13","07:19","2h","10'","  [open]  ","127.67","26.21"
"959","naho","","Russia","Nahodka ","web","","4.67","07:14","2h","10'","  [open]  ","132.86","42.78"
"960","nain","224","Canada","Nain ","web","","1.13","2024-08-30 16:57","4d","10'","  [open]  ","-61.68","56.55"
"963","napt","","New Zealand","Port Napier ","SZNZ01","NAPT","4.19","07:22","2h","3'","  [open]  ","176.920066","-39.4756612"
"964","narv","","Norway","Narvik ","web","","0.88","07:20","2h","10'","  [open]  ","17.425759","68.428286"
"966","nauu","","Nauru","Nauru ","SZPS01","67640","1.67","07:26","2h","6'","  [open]  ","166.9092","-0.5319"
"967","nawi","","USA","Nawiliwili, Kauai ","web","","0.33","07:31","2h","1'","  [open]  ","-159.36","21.957"
"969","nbpa","","Panamá","New Bold PA ","SXXX03","3357D4A6","","","","1h","  [open]  ","-74.15","40.14"
"970","nbrt","","New Zealand","New Brighton Pier, Christchurch ","SZNZ01","NBRT","4.88","07:22","2h","3'","  [open]  ","172.735","-43.506"
"971","ncla","","USA","New Canal Station LA ","SXXX03","33688438","","","","6'","  [open]  ","-90.1133","30.0266"
"972","ncpt","","New Zealand","North Cape ","SZNZ01","NCPT","5","07:22","2h","3'","  [open]  ","173.05","-34.41"
"973","neah","","USA","Neah Bay ","SXXX03","336B555E","","","","6'","  [open]  ","-124.617","48.368"
"976","newl2","241","UK","Newlyn2 ","ftp","","4.24","07:00","2h","15'","  [open]  ","-5.54275","50.103"
"977","newl3","241","UK","Newlyn ","ftp","","-3.56","07:14","2h","15'","  [open]  ","-5.54275","50.103"
"978","nhav","","UK","Newhaven ","ftp","","1.86","07:00","2h","15'","  [open]  ","0.06","50.78"
"979","nhte","","Chile","Nehuentue CL ","SXCH40","ADC240C0","1.3","07:21","2h","5'","  [open]  ","-73.408106","-38.749925"
"980","nhte2","","Chile","Nehuentue CL ","web","","","","","5'","  [open]  ","-73.408106","-38.749925"
"981","nice","","France","Nice ","ftp","","0.65","07:22","2h","5'","  [open]  ","7.285","43.695"
"982","nice2","","France","Nice2 ","SZFR01","FR0339","0.65","07:15","2h","6'","  [open]  ","7.285","43.695"
"983","nieu","","Belgium","Nieuwpoort ","web","","0.49","07:15","2h","5'","  [open]  ","2.728055556","51.15055556"
"984","niki","","USA","Nikiski AK ","SXXX03","335FE59A","","","","6'","  [open]  ","-151.3966","60.6866"
"985","niko","","USA","Nikolski AK ","SXXX03","3363E276","","","","6'","  [open]  ","-168.8716","52.9417"
"987","nkfa","125","Tonga Island","Nuku'Alofa Harbour Wharf ","SZPS01","66600","1.57","07:26","2h","3'","  [open]  ","-175.1967","-21.1303"
"988","nkfa2","125","Tonga Island","Nuku'Alofa Harbour wharf ","SZPS01","66602","-999","07:26","2h","3'","  [open]  ","-175.1967","-21.1303"
"989","nksk","","Russia","Nikol'skoe ","web","","1.69","07:14","2h","10'","  [open]  ","166.02","55.2"
"990","noat","","Greece","NOA test station ","bgan","GR-NOAT-00","0.01","2023-10-07 07:31","332d","1'","  [open]  ","23.71816","37.973354"
"991","noct","","Mauritania","Nouakchott ","SXXX33","366E2324","-999","2024-05-16 10:30","110d","15'","  [open]  ","-15.95","18.1"
"992","nome","74","USA","Nome AK ","web","","0.16","07:24","2h","6'","  [open]  ","-165.43","64.5"
"994","noto","","Japan","Noto ","SWJP40","NOTO","-999","07:19","2h","10'","  [open]  ","137.16","37.5"
"996","npor","","UK","Newport ","ftp","","11.6","07:00","2h","15'","  [open]  ","-2.99","51.55"
"997","nshi","","UK","North Shields ","ftp","","2.61","07:00","2h","15'","  [open]  ","-1.44","55.01"
"998","nspi","","USA","North Spit, Humboldt ","web","336837B6","2.18","07:33","2h","6'","  [open]  ","-124.217","40.767"
"999","nspi2","","USA","North Spit, Humboldt ","SXXX03","3354D3A8","-3.28","07:21","2h","6'","  [open]  ","-124.217","40.767"
"1000","ntue","","Chile","Nehuentue CL ","SXCH40","ADC240C0","1.3","07:21","2h","5'","  [open]  ","-73.408106","-38.749925"
"1001","ntue2","","Chile","Nehuentue CL ","web","","1.58","07:20","2h","5'","  [open]  ","-73.408106","-38.749925"
"1002","nuk1","225","Greenland","Nuuk harbour, new ","ftp","","-0.4","07:24","2h","1'","  [open]  ","-51.719813","64.1713012"
"1003","nuku","142","France","Nuku Hiva (Marquesas, French Polynesia) ","SEPO40","3540D4C0","8.34","2024-05-11 09:16","115d","5'","  [open]  ","-140.084683","-8.914847"
"1004","numb2","","France","Nouméa - Numbo (New Caledonia) ","SZNC46","06524770","1.34","07:21","2h","6'","  [open]  ","166.4116","-22.2466"
"1005","numbo","123","France","Nouméa - Numbo (New Caledonia) ","ftp","","1.33","07:25","2h","5'","  [open]  ","166.4116","-22.2466"
"1007","nyal","345","Norway","Ny Ålesund ","web","","0.25","07:20","2h","10'","  [open]  ","11.938015","78.928545"
"1008","nyna","","Sweden","Nynas Fiskehamn ","web","","0.09","07:00","2h","1h","  [open]  ","17.972222","58.9175"
"1009","ocmd","","USA","Ocean City MD ","SXXX03","335F33F2","","","","6'","  [open]  ","-75.092","38.328"
"1010","ofuas","","Samoa","Ofu ","SZXX01","300434066945600","1.82","07:20","2h","5'","  [open]  ","-169.681033","-14.163364"
"1011","ofun","87","Japan","Ofunato ","SWJP40","OFUNATO","2.3","07:19","2h","10'","  [open]  ","141.75","39.02"
"1012","ohig","","Chile","Base O'Higgins ","SXCH40","ADC04BE6","1.71","07:21","2h","5'","  [open]  ","-57.898731","-63.320314"
"1013","ohig3","","Chile","Base O'Higgins ","web","","1.6","2024-08-28 13:47","6d","5'","  [open]  ","-57.898731","-63.320314"
"1014","oinc","","USA","Oregon Inlet NC ","SXXX03","335D2570","","","","6'","  [open]  ","-75.55","35.8"
"1015","olan","","Sweden","Olands norra udde ","web","","0.2","07:00","2h","1h","  [open]  ","17.097222","57.366111"
