Wavelength	9H00007.asd
325	 9.35236398814737E-05 
326	 2.5562201400075E-05 
327	-8.4845714358552E-06 
328	 2.2945439503203E-05 
329	 2.92370369245045E-05 
330	 2.7252127982219E-05 
331	 3.27450458505525E-05 
332	 2.41961831943502E-05 
333	 2.24855971512941E-06 
334	-2.88228814054205E-05 
335	-3.03656812932369E-05 
336	-1.98113348858094E-07 
337	-3.78869409136007E-06 
338	-1.15525521172266E-05 
339	 6.09836530204979E-06 
340	 1.83060473267814E-05 
341	 1.72289317202145E-05 
342	-6.27746118363443E-06 
343	-5.67167641550149E-06 
344	 3.14242440316344E-05 
345	 7.38903061996184E-05 
346	 9.83614763150535E-05 
347	 8.64467102126024E-05 
348	 6.62223428520095E-05 
349	 5.06313103126585E-05 
350	 5.60766351819126E-05 
351	 5.53013387203283E-05 
352	 3.8604015891839E-05 
353	 2.15823726619979E-05 
354	 1.19261016497163E-05 
355	 1.66024373847675E-05 
356	 2.10190268761342E-05 
357	 2.74233785533506E-05 
358	 5.79618170238113E-05 
359	 7.22719487966974E-05 
360	 5.31085816089541E-05 
361	 3.87402200976319E-05 
362	 3.86437977254773E-05 
363	 5.97814284133421E-05 
364	 6.26683807620686E-05 
365	 4.54120031859805E-05 
366	 4.31628145906939E-05 
367	 4.96472510640412E-05 
368	 5.83741871657463E-05 
369	 5.1340092363908E-05 
370	 3.78960401526072E-05 
371	 4.00678587711376E-05 
372	 4.78875378253276E-05 
373	 5.86342441377387E-05 
374	 7.76661515775305E-05 
375	 7.74852180792173E-05 
376	 4.05197598615049E-05 
377	 3.84645433966233E-05 
378	 6.55897632778812E-05 
379	 8.02794570056237E-05 
380	 8.37817139314787E-05 
381	 7.91384783814112E-05 
382	 9.1025726983036E-05 
383	 9.85941772238671E-05 
384	 8.12419346024751E-05 
385	 8.25300527848465E-05 
386	 9.77374562359772E-05 
387	 8.90171982142749E-05 
388	 8.24800920807433E-05 
389	 9.02825883798293E-05 
390	 1.17695521322656E-04 
391	 1.37500987628212E-04 
392	 0.000116907615355 
393	 1.22915074326293E-04 
394	 1.53990667635756E-04 
395	 1.54491670191922E-04 
396	 1.4514488043812E-04 
397	 1.40076782857555E-04 
398	 1.54984233830647E-04 
399	 1.73984436875946E-04 
400	 1.6857774042849E-04 
401	 1.75784772524976E-04 
402	 2.00095622137223E-04 
403	 2.18561914986778E-04 
404	 2.3418971191449E-04 
405	 2.49621547754639E-04 
406	 2.66044194989245E-04 
407	 2.81592906659207E-04 
408	 2.90270883053879E-04 
409	 3.06665761202027E-04 
410	 3.37972007539708E-04 
411	 3.91700131309146E-04 
412	 4.45091954842212E-04 
413	 4.77990896667561E-04 
414	 5.40589406140616E-04 
415	 6.27062305463959E-04 
416	 6.93955194000134E-04 
417	 7.69942790480716E-04 
418	 8.70145312673728E-04 
419	 1.00191595292034E-03 
420	 1.15627310616442E-03 
421	 1.31969063741425E-03 
422	 1.50840804592412E-03 
423	 1.72691212472641E-03 
424	 1.97259475745116E-03 
425	 2.24380331575166E-03 
426	 2.54170708457946E-03 
427	 2.88147577844149E-03 
428	 3.26386216748344E-03 
429	 3.68435658356972E-03 
430	 4.14924529736547E-03 
431	 4.66123136813763E-03 
432	 5.21715608767431E-03 
433	 5.83122936196559E-03 
434	 6.51704496648561E-03 
435	 7.25960227125654E-03 
436	 8.0574498093807E-03 
437	 8.91278559659204E-03 
438	 9.8365070161623E-03 
439	 1.08278818641618E-02 
440	 1.18618760964136E-02 
441	 1.29085797701477E-02 
442	 1.39345729264735E-02 
443	 1.49234886453938E-02 
444	 1.58236051465155E-02 
445	 0.016536497086403 
446	 0.017032305146271 
447	 1.72801970375572E-02 
448	 1.72554560972491E-02 
449	 1.69518062462522E-02 
450	 0.016362266343829 
451	 1.55564897360674E-02 
452	 1.45971316326887E-02 
453	 1.35764725012736E-02 
454	 1.25375210593767E-02 
455	 1.15219619660098E-02 
456	 1.05641960026788E-02 
457	 9.69717684966656E-03 
458	 8.96513372955299E-03 
459	 8.33658374852762E-03 
460	 7.78889730795061E-03 
461	 7.28969591566256E-03 
462	 6.83814190107806E-03 
463	 6.4401195332665E-03 
464	 6.0685231255105E-03 
465	 5.71045860090176E-03 
466	 5.35619442160884E-03 
467	 5.02179097660941E-03 
468	 4.71864598863714E-03 
469	 4.43075843225775E-03 
470	 4.16792698116362E-03 
471	 3.9537026834203E-03 
472	 3.77082299423439E-03 
473	 3.61252611957404E-03 
474	 3.47553269495965E-03 
475	 3.3694269133488E-03 
476	 3.30315249799929E-03 
477	 3.24833949164778E-03 
478	 3.20439805425078E-03 
479	 3.19190693249993E-03 
480	 3.18949307301289E-03 
481	 3.18660483122562E-03 
482	 3.19374536802151E-03 
483	 3.20867457801906E-03 
484	 3.2265061658412E-03 
485	 3.25423152272723E-03 
486	 3.2901726530212E-03 
487	 3.31955832034814E-03 
488	 3.35550479883104E-03 
489	 3.40785492642107E-03 
490	 3.4639108252162E-03 
491	 3.52034562701003E-03 
492	 3.57627231302347E-03 
493	 3.62858093813493E-03 
494	 3.67821823076317E-03 
495	 3.73699717072937E-03 
496	 3.79770622964883E-03 
497	 3.85084961749474E-03 
498	 3.90183339601179E-03 
499	 3.95005970738836E-03 
500	 3.99005121755636E-03 
501	 4.02888248371616E-03 
502	 4.07045196270371E-03 
503	 4.1109453466498E-03 
504	 4.14757332136625E-03 
505	 4.17691400997982E-03 
506	 4.19724634691018E-03 
507	 4.21379933045734E-03 
508	 4.24985122312116E-03 
509	 4.2889621295981E-03 
510	 4.31438496593298E-03 
511	 4.32601710840006E-03 
512	 4.33103317019981E-03 
513	 4.34846742406868E-03 
514	 4.36485868202343E-03 
515	 4.37496895420412E-03 
516	 4.38566720179374E-03 
517	 4.39737727993628E-03 
518	 4.40991404377407E-03 
519	 4.4218301287431E-03 
520	 4.43235894524432E-03 
521	 4.4410813800513E-03 
522	 4.44821790573419E-03 
523	 4.45440398807083E-03 
524	 4.46327922820402E-03 
525	 4.47361640792894E-03 
526	 4.48059844278059E-03 
527	 4.49083675664408E-03 
528	 4.50496838503135E-03 
529	 4.51322936830802E-03 
530	 4.51963045418446E-03 
531	 4.52992725138371E-03 
532	 4.53554748788045E-03 
533	 4.53798837208477E-03 
534	 4.54801831835743E-03 
535	 4.55919048636493E-03 
536	 4.56809335337063E-03 
537	 4.58038615146248E-03 
538	 4.59519398373277E-03 
539	 4.6102630070079E-03 
540	 4.62017034074303E-03 
541	 4.62397665514727E-03 
542	 4.62710736895082E-03 
543	 4.63173590750191E-03 
544	 4.63942256900027E-03 
545	 4.64588618062003E-03 
546	 4.64901926974292E-03 
547	 4.64569126672248E-03 
548	 4.64268282769076E-03 
549	 4.6441782066483E-03 
550	 4.65184146660871E-03 
551	 4.66023118551714E-03 
552	 4.66107311473802E-03 
553	 4.65406412249108E-03 
554	 4.64282896837831E-03 
555	 4.64080394154491E-03 
556	 4.64607682006997E-03 
557	 4.65568486701061E-03 
558	 4.65255687696496E-03 
559	 4.63957865487665E-03 
560	 4.63335773810328E-03 
561	 4.62477895133939E-03 
562	 4.61264037894877E-03 
563	 4.60915260798516E-03 
564	 4.60950105792408E-03 
565	 4.60596830131236E-03 
566	 4.59131357957002E-03 
567	 4.57061148259712E-03 
568	 4.56880193369275E-03 
569	 4.57045819969059E-03 
570	 4.56363784410582E-03 
571	 4.54750458184362E-03 
572	 4.52867180508311E-03 
573	 4.5224799691987E-03 
574	 4.51400003481941E-03 
575	 4.49945245901287E-03 
576	 4.48951244633255E-03 
577	 4.47986775257663E-03 
578	 4.46465291856581E-03 
579	 4.4437142613988E-03 
580	 4.42250758236138E-03 
581	 4.41762546304764E-03 
582	 4.41441704772452E-03 
583	 4.40498139850307E-03 
584	 4.40160873438625E-03 
585	 4.39928207483417E-03 
586	 4.38628340276726E-03 
587	 4.37348462916661E-03 
588	 4.36505219759842E-03 
589	 4.36345112943517E-03 
590	 4.35957328897546E-03 
591	 4.34517768925995E-03 
592	 4.3317758415431E-03 
593	 4.32095712720893E-03 
594	 4.31127515576408E-03 
595	 4.2967569145655E-03 
596	 4.27484993011708E-03 
597	 4.25055753476005E-03 
598	 4.22920330000838E-03 
599	 4.21778608207855E-03 
600	 4.20203505492133E-03 
601	 4.18058662055433E-03 
602	 4.16526930360669E-03 
603	 4.1505075569489E-03 
604	 4.1315882778856E-03 
605	 4.10903834115365E-03 
606	 4.08691604560198E-03 
607	 4.07525198872222E-03 
608	 4.06377752316841E-03 
609	 4.04818611238647E-03 
610	 4.02751306849606E-03 
611	 4.00899630167425E-03 
612	 4.00161840199925E-03 
613	 3.9847018490078E-03 
614	 3.95904780830979E-03 
615	 3.94818420426385E-03 
616	 3.92871453288001E-03 
617	 3.88842410114381E-03 
618	 3.86305017736185E-03 
619	 3.85089952326064E-03 
620	 3.83804264018718E-03 
621	 3.82203006764506E-03 
622	 3.80071532485774E-03 
623	 3.77299684461888E-03 
624	 3.74780042745353E-03 
625	 3.73391036435923E-03 
626	 3.71237364635254E-03 
627	 3.68439334197032E-03 
628	 3.66723168808309E-03 
629	 3.64787001011968E-03 
630	 3.62074953593345E-03 
631	 3.59850135691307E-03 
632	 3.57803189910954E-03 
633	 3.55150119616581E-03 
634	 3.52768143419778E-03 
635	 3.50877650451823E-03 
636	 3.49318299503982E-03 
637	 3.4728866550964E-03 
638	 3.44214337648978E-03 
639	 3.41944644834042E-03 
640	 3.40374671202531E-03 
641	 3.38183178208902E-03 
642	 3.36667670154121E-03 
643	 3.35923801444093E-03 
644	 3.33248421030813E-03 
645	 3.30281591853592E-03 
646	 3.29487202815234E-03 
647	 3.27979704988426E-03 
648	 3.25536987554565E-03 
649	 3.24133060479846E-03 
650	 3.22700750465923E-03 
651	 3.20544826589145E-03 
652	 3.18240144088866E-03 
653	 3.16278810436918E-03 
654	 3.15542161863149E-03 
655	 3.14344147948646E-03 
656	 3.12305115581051E-03 
657	 3.10688006410698E-03 
658	 3.09591342131458E-03 
659	 3.08971609138441E-03 
660	 3.0714524553423E-03 
661	 3.04667729937711E-03 
662	 3.04376035091326E-03 
663	 3.03740325828247E-03 
664	 3.01587000596913E-03 
665	 2.99325961586227E-03 
666	 2.97915764465907E-03 
667	 2.98615731008291E-03 
668	 2.98529081847427E-03 
669	 2.97117297241652E-03 
670	 2.96206733997848E-03 
671	 2.9493990891569E-03 
672	 2.92772470659753E-03 
673	 2.92242731715819E-03 
674	 2.92464395858636E-03 
675	 2.89897256459235E-03 
676	 2.88796910819134E-03 
677	 2.9016217537315E-03 
678	 2.89916860835627E-03 
679	 2.88925684774966E-03 
680	 2.8863605826927E-03 
681	 2.88215999419125E-03 
682	 2.87484286827581E-03 
683	 2.86310887118643E-03 
684	 2.85585149053678E-03 
685	 2.85693342186058E-03 
686	 2.84972669008868E-03 
687	 2.83913080992984E-03 
688	 2.83832581726992E-03 
689	 2.83202633748354E-03 
690	 2.81970723464555E-03 
691	 2.82040718106753E-03 
692	 2.82380688835207E-03 
693	 2.82030041086176E-03 
694	 2.82064691378388E-03 
695	 2.82392370885781E-03 
696	 2.82386811739789E-03 
697	 2.81862630467256E-03 
698	 2.80904103541393E-03 
699	 2.80514881144089E-03 
700	 2.80570207459265E-03 
701	 2.8075913260303E-03 
702	 2.80665771010018E-03 
703	 2.80349179782991E-03 
704	 2.80471256693674E-03 
705	 2.80783919160811E-03 
