Wavelength	11H00005.asd
325	 1.19865504628493E-05 
326	 2.56857106365109E-05 
327	 2.96936426388118E-05 
328	 1.91914426910823E-05 
329	 3.17129092330827E-05 
330	 4.89647099199446E-05 
331	 5.17467082148124E-05 
332	 2.64886335521335E-05 
333	-1.00695311518935E-05 
334	-1.46973639767137E-05 
335	-1.21157151032072E-05 
336	-1.0227012011737E-05 
337	-7.82562885669037E-06 
338	 1.63878759574064E-06 
339	 2.27371082491315E-05 
340	 2.93644759044222E-05 
341	 1.73961775309371E-05 
342	-1.75996372104096E-05 
343	-1.32607689732141E-05 
344	 3.86233471717616E-05 
345	 4.94599047254638E-05 
346	 5.11125404327834E-05 
347	 8.01037999208125E-05 
348	 7.74692941446636E-05 
349	 4.6582507490449E-05 
350	 1.81939543855983E-05 
351	 1.81326995509429E-05 
352	 4.8056322724179E-05 
353	 4.36388145671677E-05 
354	 2.65109647363585E-05 
355	 2.90754865839102E-05 
356	 3.27758305604977E-05 
357	 3.64217071345555E-05 
358	 5.08129002205455E-05 
359	 5.18900749154132E-05 
360	 3.20729013028631E-05 
361	 3.38175478984971E-05 
362	 4.48102230417335E-05 
363	 3.96051089566915E-05 
364	 3.85857084550295E-05 
365	 4.43400046058471E-05 
366	 4.53582492406361E-05 
367	 5.49557296504638E-05 
368	 7.62601005980525E-05 
369	 5.43077297308016E-05 
370	 1.89361387125574E-05 
371	 4.09937660855249E-05 
372	 4.65946011893046E-05 
373	 2.75454912438016E-05 
374	 5.35286347971977E-05 
375	 7.40631005708008E-05 
376	 4.91190432074068E-05 
377	 4.33635237721475E-05 
378	 5.48713786949618E-05 
379	 5.21968885611207E-05 
380	 5.31331625094128E-05 
381	 6.19262660955871E-05 
382	 7.36014987677642E-05 
383	 7.26098823467397E-05 
384	 4.69123110397533E-05 
385	 6.31025015900764E-05 
386	 1.0719498560762E-04 
387	 1.08154711982436E-04 
388	 8.85078084847484E-05 
389	 6.61806730865634E-05 
390	 9.31344256760343E-05 
391	 1.25016058542677E-04 
392	 1.02362709741269E-04 
393	 1.04640411883892E-04 
394	 1.33678157767746E-04 
395	 1.35210506313721E-04 
396	 1.32855378976966E-04 
397	 1.39971681025415E-04 
398	 1.53711665369044E-04 
399	 1.70241849836025E-04 
400	 1.84296126639574E-04 
401	 1.9488427317555E-04 
402	 2.02597049710426E-04 
403	 2.09946192319973E-04 
404	 2.23423887844152E-04 
405	 2.47402711869055E-04 
406	 2.77316382150917E-04 
407	 3.05960904498022E-04 
408	 3.20564893044212E-04 
409	 3.35846436423529E-04 
410	 3.60234110348255E-04 
411	 4.0244466262573E-04 
412	 4.60826130355005E-04 
413	 5.32763293375836E-04 
414	 6.16133866953737E-04 
415	 7.03798742084214E-04 
416	 7.78543343662876E-04 
417	 8.62556718588631E-04 
418	 9.717550841733E-04 
419	 1.1299186730894E-03 
420	 1.31701617188498E-03 
421	 1.50325598488836E-03 
422	 0.001713784872486 
423	 1.95967799803852E-03 
424	 2.25064126688453E-03 
425	 2.57676559506274E-03 
426	 2.93334172235675E-03 
427	 3.33449228789269E-03 
428	 3.78198204192173E-03 
429	 4.27347659882014E-03 
430	 4.81574426764129E-03 
431	 5.41431891700013E-03 
432	 6.07649149300917E-03 
433	 6.80313460119411E-03 
434	 7.59616583273493E-03 
435	 8.45661758490792E-03 
436	 9.38995793202865E-03 
437	 1.04083569538404E-02 
438	 1.15020027465388E-02 
439	 1.26604140200569E-02 
440	 1.38641217715138E-02 
441	 1.50844813719985E-02 
442	 1.62892800809848E-02 
443	 1.74483566229414E-02 
444	 1.84976527627782E-02 
445	 0.019324142638381 
446	 1.98814821884144E-02 
447	 2.01299109145937E-02 
448	 2.00748867809582E-02 
449	 1.97069512048203E-02 
450	 1.90036029109204E-02 
451	 1.80421624514265E-02 
452	 1.68976562056858E-02 
453	 1.56951215125588E-02 
454	 1.44781195739616E-02 
455	 1.32885278691216E-02 
456	 0.012177435225275 
457	 1.11805876558465E-02 
458	 1.03388199015677E-02 
459	 9.61182316604191E-03 
460	 8.97155805959177E-03 
461	 8.38401911641008E-03 
462	 7.85923896206251E-03 
463	 7.4184532983953E-03 
464	 6.98624323998378E-03 
465	 6.5479487056474E-03 
466	 6.13930435065433E-03 
467	 5.75524629806167E-03 
468	 5.39440389677512E-03 
469	 0.005066129574473 
470	 4.77026696105874E-03 
471	 4.50082825309424E-03 
472	 4.27774214396591E-03 
473	 4.10434179648475E-03 
474	 3.95929873325746E-03 
475	 3.8453802172658E-03 
476	 3.76602101978993E-03 
477	 3.70457254152486E-03 
478	 3.65748126374787E-03 
479	 3.62825455771736E-03 
480	 3.6169962181342E-03 
481	 3.62182515499474E-03 
482	 3.63273857287089E-03 
483	 3.64998144921092E-03 
484	 3.67646934828252E-03 
485	 3.70590510393901E-03 
486	 3.73811095975962E-03 
487	 3.77832265620761E-03 
488	 3.82898183188385E-03 
489	 3.89103729746212E-03 
490	 3.9543579883617E-03 
491	 4.01627859640427E-03 
492	 4.07656121819278E-03 
493	 4.13373093727768E-03 
494	 4.19035669367321E-03 
495	 4.2629877799115E-03 
496	 4.33503045372559E-03 
497	 4.38603544254539E-03 
498	 0.004437962786682 
499	 4.49529413677441E-03 
500	 4.55687161336023E-03 
501	 4.60771916861091E-03 
502	 4.64149214542278E-03 
503	 4.68706212798187E-03 
504	 4.73850378329677E-03 
505	 4.77933302734044E-03 
506	 4.80348918605093E-03 
507	 4.81532275087153E-03 
508	 4.84328920743813E-03 
509	 4.87645008391077E-03 
510	 4.90284977323512E-03 
511	 4.92121753551472E-03 
512	 4.93416511692475E-03 
513	 4.94938680049845E-03 
514	 4.96633172070616E-03 
515	 4.98344421656738E-03 
516	 4.99086780063923E-03 
517	 4.99575690580645E-03 
518	 5.00971517374205E-03 
519	 5.02735690253835E-03 
520	 5.04402179181188E-03 
521	 5.04857191269796E-03 
522	 5.05243675513382E-03 
523	 5.06410256266508E-03 
524	 5.07533875733417E-03 
525	 5.08381659111581E-03 
526	 5.08590765948533E-03 
527	 5.09611233103954E-03 
528	 5.11540648369585E-03 
529	 5.11683955704637E-03 
530	 5.11605270574371E-03 
531	 5.13370879770558E-03 
532	 5.15116217787284E-03 
533	 5.16270676993695E-03 
534	 5.16462267821301E-03 
535	 5.16867698491026E-03 
536	 5.18145949204288E-03 
537	 5.1907613960124E-03 
538	 5.19909853982943E-03 
539	 5.21499518747785E-03 
540	 5.22671557539794E-03 
541	 5.2322977685142E-03 
542	 5.24243913260829E-03 
543	 5.25192429195932E-03 
544	 5.25487546911899E-03 
545	 5.25034792581605E-03 
546	 5.24311171988472E-03 
547	 5.24657382776565E-03 
548	 5.25143904036714E-03 
549	 5.25353307333228E-03 
550	 5.25947524620401E-03 
551	 5.26324267760482E-03 
552	 5.25423801829954E-03 
553	 5.24840336669761E-03 
554	 5.24847495892513E-03 
555	 5.24397903919284E-03 
556	 5.23967575887203E-03 
557	 5.23979554170502E-03 
558	 5.23622789946763E-03 
559	 5.22825009615335E-03 
560	 5.21781404004146E-03 
561	 5.2077134331911E-03 
562	 5.19934743375308E-03 
563	 5.19036803158634E-03 
564	 5.18205511604037E-03 
565	 5.17653154044437E-03 
566	 5.16370232517505E-03 
567	 5.14532053048297E-03 
568	 5.13808567646745E-03 
569	 5.1283624361916E-03 
570	 5.10768051777872E-03 
571	 5.09520642604881E-03 
572	 5.08918999665609E-03 
573	 5.07976038985042E-03 
574	 5.06461511096054E-03 
575	 5.04339739392319E-03 
576	 5.02203338518962E-03 
577	 5.00345976059288E-03 
578	 4.98994676800846E-03 
579	 4.96789879740554E-03 
580	 4.94163021406373E-03 
581	 4.93542383765189E-03 
582	 4.92994882063056E-03 
583	 4.91574597564504E-03 
584	 4.91633837023354E-03 
585	 4.91820622233002E-03 
586	 4.89129526844524E-03 
587	 4.86955399122172E-03 
588	 4.86252791016992E-03 
589	 4.86176282134318E-03 
590	 4.8529475744143E-03 
591	 4.82453946154685E-03 
592	 4.81300130754141E-03 
593	 4.81188457344957E-03 
594	 4.78125591410549E-03 
595	 4.75288771032686E-03 
596	 4.73927473323842E-03 
597	 4.71633869369314E-03 
598	 4.6907327805924E-03 
599	 4.67649940512899E-03 
600	 4.65665915717767E-03 
601	 4.6287361954415E-03 
602	 4.60113291126571E-03 
603	 4.57864752527931E-03 
604	 4.56395630578938E-03 
605	 4.54182890712579E-03 
606	 4.5144343546557E-03 
607	 4.49484267659103E-03 
608	 4.47376039332347E-03 
609	 4.4485496877518E-03 
610	 4.42166886287887E-03 
611	 4.40131243889086E-03 
612	 4.39708405780054E-03 
613	 4.37875436610144E-03 
614	 4.34502333215455E-03 
615	 4.32049009979604E-03 
616	 4.29424610542857E-03 
617	 4.26082542557139E-03 
618	 4.23705373227192E-03 
619	 0.004219958006102 
620	 4.19981986532488E-03 
621	 4.17055779078123E-03 
622	 4.1333223977932E-03 
623	 4.10589843350229E-03 
624	 4.08644018801804E-03 
625	 4.07107590728424E-03 
626	 4.03810181452557E-03 
627	 3.99454533651683E-03 
628	 3.9773004803915E-03 
629	 3.95732201093976E-03 
630	 3.9212124593872E-03 
631	 3.88967607883368E-03 
632	 3.86258861655496E-03 
633	 3.83545977314456E-03 
634	 3.80918002478849E-03 
635	 3.78323307862023E-03 
636	 3.75479293697337E-03 
637	 3.72791995578447E-03 
638	 3.70576893836574E-03 
639	 3.68006432916928E-03 
640	 0.003654419290485 
641	 3.6440661044481E-03 
642	 3.62574324060858E-03 
643	 3.59167330121147E-03 
644	 0.003559390326014 
645	 3.53249104221733E-03 
646	 3.51324481288946E-03 
647	 3.49146621888004E-03 
648	 3.46653837832779E-03 
649	 3.44693261103687E-03 
650	 3.42906663611172E-03 
651	 3.41022688767879E-03 
652	 3.38917462664901E-03 
653	 3.36798285361701E-03 
654	 3.35263610570915E-03 
655	 3.32748357089376E-03 
656	 3.29218712418828E-03 
657	 3.27177678764443E-03 
658	 3.26002606506821E-03 
659	 3.24843557453795E-03 
660	 3.23422062228702E-03 
661	 3.21646103684345E-03 
662	 3.19507422660287E-03 
663	 3.17648028055371E-03 
664	 3.16342037119439E-03 
665	 3.14736458738563E-03 
666	 3.13232694171632E-03 
667	 3.1266894464798E-03 
668	 3.11313688584149E-03 
669	 3.09173427661914E-03 
670	 3.08487781888413E-03 
671	 3.07704545416827E-03 
672	 3.05620573444245E-03 
673	 3.04157859731483E-03 
674	 3.02960573788675E-03 
675	 2.99907821393156E-03 
676	 2.99006233301372E-03 
677	 3.01011271853309E-03 
678	 3.00998890450553E-03 
679	 2.99404101610584E-03 
680	 2.97310963429561E-03 
681	 2.96712807382704E-03 
682	 2.97123079300299E-03 
683	 2.9503230323281E-03 
684	 2.93195402834495E-03 
685	 2.93114992216506E-03 
686	 2.92658015626283E-03 
687	 2.91777259290942E-03 
688	 2.90886182547828E-03 
689	 2.90083817798934E-03 
690	 2.89502750442835E-03 
691	 2.89495161759903E-03 
692	 2.89438723714589E-03 
693	 2.8878993713881E-03 
694	 2.88221903136278E-03 
695	 2.87946445571722E-03 
696	 2.88265014016726E-03 
697	 2.8815333866139E-03 
698	 2.87297024358222E-03 
699	 2.86596377758873E-03 
700	 2.8655405360476E-03 
701	 2.87677570970656E-03 
702	 2.87336802383827E-03 
703	 2.85581323668403E-03 
704	 2.8494758404887E-03 
705	 2.85079793598382E-03 
706	 0.002855618349234 
707	 2.84745002864289E-03 
708	 2.83382122651288E-03 
709	 2.8335289199844E-03 
710	 2.83494732688687E-03 
711	 2.83464165809274E-03 
712	 2.83249440698304E-03 
713	 2.83366484921021E-03 
714	 2.84230194846239E-03 
715	 2.84677237915144E-03 
716	 2.84619654909177E-03 
717	 2.84468840262182E-03 
718	 2.84267637992072E-03 
719	 2.84174865634146E-03 
720	 2.84726357044526E-03 
721	 2.85558164756822E-03 
722	 2.86149736404921E-03 
723	 2.86448059946952E-03 
724	 2.8646037357612E-03 
725	 2.86305784761835E-03 
726	 2.86196181661755E-03 
727	 2.86280158928239E-03 
728	 2.86543979051589E-03 
729	 2.86747423078501E-03 
730	 2.86437877160467E-03 
731	 2.86653382240435E-03 
732	 2.87420052520111E-03 
733	 2.87359050682752E-03 
734	 2.87071236304171E-03 
735	 2.87171047902799E-03 
736	 2.88049479594397E-03 
737	 2.89231525817235E-03 
738	 2.89390707709297E-03 
739	 2.89383446916237E-03 
740	 2.89481996396357E-03 
741	 2.89269154908379E-03 
742	 2.89228447897146E-03 
743	 2.89935520651893E-03 
744	 2.90656529180756E-03 
745	 2.9111424784469E-03 
746	 2.90945968137441E-03 
747	 2.91407607945876E-03 
748	 2.92901675971463E-03 
749	 2.93123154721568E-03 
750	 2.9233711302483E-03 
751	 2.91325459001694E-03 
752	 2.91886096140576E-03 
753	 2.93859150949063E-03 
754	 2.94418278270371E-03 
755	 2.94762790577072E-03 
756	 2.95699482899634E-03 
757	 2.95917856260102E-03 
758	 2.9567400084683E-03 
759	 2.95796226337594E-03 
760	 2.96532240674275E-03 
761	 2.97633954408279E-03 
762	 2.97430830642341E-03 
763	 2.97001765150791E-03 
764	 2.97434040653396E-03 
765	 0.002981383952444 
766	 2.98818421332204E-03 
