Wavelength	9H00005.asd
325	 9.84053406112317E-06 
326	 5.4012834715889E-05 
327	 6.92418351448934E-05 
328	 4.4526430746088E-05 
329	 1.69347896072062E-05 
330	 1.10709216670923E-05 
331	 4.28880883245523E-05 
332	 2.5686337124196E-05 
333	-1.99698878516067E-05 
334	-1.0086889003946E-05 
335	 8.10250805304739E-06 
336	 1.49127464860682E-05 
337	-8.46782920814468E-06 
338	-1.58341098192853E-05 
339	 3.12854380281996E-05 
340	 3.80518900560766E-05 
341	 1.10617424498207E-05 
342	 8.54595815617395E-06 
343	 1.55232112735235E-05 
344	 2.79300944931049E-05 
345	 4.45445681385603E-05 
346	 6.31907488109634E-05 
347	 8.13452870667229E-05 
348	 7.58854898400412E-05 
349	 5.13440239864953E-05 
350	 2.52587022529811E-05 
351	 2.27544330922039E-05 
352	 4.55077007338296E-05 
353	 3.13437546721847E-05 
354	 1.16638218632072E-05 
355	 2.94770836729596E-05 
356	 4.09988500809209E-05 
357	 4.23526600149798E-05 
358	 5.39894752585402E-05 
359	 6.15768982150434E-05 
360	 5.75697790858031E-05 
361	 4.23682087827608E-05 
362	 3.25449670060784E-05 
363	 5.15406262202627E-05 
364	 6.88613911279398E-05 
365	 7.3800495855406E-05 
366	 5.89508533341911E-05 
367	 5.81347499696473E-05 
368	 8.83357464130434E-05 
369	 8.36984849188075E-05 
370	 5.70012730564508E-05 
371	 4.93817234339894E-05 
372	 4.72621936408509E-05 
373	 5.04745061750469E-05 
374	 7.41306869557781E-05 
375	 8.48721536205319E-05 
376	 5.82046715086656E-05 
377	 4.94556510709161E-05 
378	 6.10307287975497E-05 
379	 7.47663236609146E-05 
380	 9.06794951804305E-05 
381	 1.03082967145667E-04 
382	 9.41973639508144E-05 
383	 7.78869171654162E-05 
384	 6.98977176856615E-05 
385	 7.44399147123465E-05 
386	 9.01729342742857E-05 
387	 1.1505475265289E-04 
388	 1.17065246224002E-04 
389	 9.07853589904579E-05 
390	 9.58931308192771E-05 
391	 1.12560639788643E-04 
392	 1.09672729153336E-04 
393	 1.18533162735096E-04 
394	 1.38377355180584E-04 
395	 1.46065835684527E-04 
396	 1.47843207785394E-04 
397	 1.48662548330435E-04 
398	 1.59219308935983E-04 
399	 1.71585437963621E-04 
400	 1.70571204084043E-04 
401	 1.81637124269271E-04 
402	 2.06242998390235E-04 
403	 2.2349358360167E-04 
404	 2.34049316542384E-04 
405	 2.40689575637402E-04 
406	 2.63898558120489E-04 
407	 2.93752493048028E-04 
408	 3.02008825963169E-04 
409	 3.16340250212068E-04 
410	 3.46088312332927E-04 
411	 3.87351696843523E-04 
412	 4.35749795716186E-04 
413	 4.87557555233924E-04 
414	 5.5318998166476E-04 
415	 6.2844058248846E-04 
416	 6.95225915708127E-04 
417	 7.75197014407146E-04 
418	 8.79881671530504E-04 
419	 1.01262889693577E-03 
420	 1.16295738311509E-03 
421	 1.31612121875202E-03 
422	 1.49801611726411E-03 
423	 1.71475826221044E-03 
424	 1.9586010196548E-03 
425	 2.23201828084884E-03 
426	 2.53771748624574E-03 
427	 2.88098447065515E-03 
428	 3.26408532983962E-03 
429	 3.68895987802252E-03 
430	 4.15020248497285E-03 
431	 4.65190972025638E-03 
432	 5.21404705732367E-03 
433	 5.83483475784434E-03 
434	 6.51298498591553E-03 
435	 7.25231173645231E-03 
436	 8.05153831796348E-03 
437	 8.90390880072276E-03 
438	 9.82293819579945E-03 
439	 1.08092238645106E-02 
440	 1.18389792000698E-02 
441	 1.28847589370049E-02 
442	 1.39160355055903E-02 
443	 1.49057567286932E-02 
444	 1.58028663241662E-02 
445	 1.65232852331065E-02 
446	 1.70201074308157E-02 
447	 1.72541646584333E-02 
448	 1.72321300730651E-02 
449	 0.016939487963108 
450	 1.63445022269768E-02 
451	 1.55316125103709E-02 
452	 1.45695771389781E-02 
453	 1.35547538487697E-02 
454	 0.012528219848552 
455	 1.15282729165522E-02 
456	 1.05702696762934E-02 
457	 9.6917977345049E-03 
458	 8.96097400598683E-03 
459	 8.33497248196302E-03 
460	 7.78713906002919E-03 
461	 7.28923512567856E-03 
462	 6.84325391694427E-03 
463	 6.45875926552229E-03 
464	 6.07702347694034E-03 
465	 5.69208246856122E-03 
466	 5.35182600962239E-03 
467	 5.02923346271061E-03 
468	 4.70826891422338E-03 
469	 4.41567717612142E-03 
470	 4.15820715764876E-03 
471	 3.93877293866805E-03 
472	 3.75849102886179E-03 
473	 3.61228984453642E-03 
474	 3.47556861163962E-03 
475	 3.36627638046456E-03 
476	 3.30294638876869E-03 
477	 3.24823352359731E-03 
478	 3.20109139783624E-03 
479	 3.18613643755765E-03 
480	 3.1788287446056E-03 
481	 3.17003019757892E-03 
482	 3.18967952286385E-03 
483	 3.22234249263409E-03 
484	 3.24069574394375E-03 
485	 3.25694002719533E-03 
486	 3.27707229416493E-03 
487	 3.3091100408567E-03 
488	 3.35324430931973E-03 
489	 3.40815176301044E-03 
490	 3.45892713846805E-03 
491	 3.50839115945537E-03 
492	 3.5724435236481E-03 
493	 3.62794525150183E-03 
494	 3.67009031327549E-03 
495	 3.72237870726196E-03 
496	 3.78009384114354E-03 
497	 3.83540413972508E-03 
498	 3.89185641496726E-03 
499	 3.94699220414494E-03 
500	 3.99449996339291E-03 
501	 4.02751436532846E-03 
502	 4.04723462980403E-03 
503	 4.09955369412729E-03 
504	 4.16184102104981E-03 
505	 4.18268963855033E-03 
506	 4.19868473660131E-03 
507	 4.22164462530503E-03 
508	 4.25079000382499E-03 
509	 4.28071188454643E-03 
510	 4.30560463310713E-03 
511	 4.31733074035953E-03 
512	 4.32279248855982E-03 
513	 4.34506481057135E-03 
514	 4.36352106861818E-03 
515	 4.37063696152458E-03 
516	 4.38285033816454E-03 
517	 4.3951156965943E-03 
518	 4.39781243055083E-03 
519	 4.40781600533927E-03 
520	 4.42581633688741E-03 
521	 4.43772895111803E-03 
522	 4.44414492398755E-03 
523	 4.4465102765772E-03 
524	 4.45267095992069E-03 
525	 4.46243001739427E-03 
526	 4.47137000666845E-03 
527	 4.48384794316738E-03 
528	 4.49878681898517E-03 
529	 4.50198595710834E-03 
530	 4.50643793948209E-03 
531	 4.52838756435789E-03 
532	 4.53680739376113E-03 
533	 4.53194516223725E-03 
534	 4.53903072330906E-03 
535	 4.54761899868325E-03 
536	 4.55263700727535E-03 
537	 4.56537518385695E-03 
538	 4.58260815512358E-03 
539	 4.59614817350064E-03 
540	 4.60620327249453E-03 
541	 4.61283168634834E-03 
542	 4.61738547062878E-03 
543	 4.62360139227399E-03 
544	 4.63456039286038E-03 
545	 4.63987357281657E-03 
546	 4.63928013296598E-03 
547	 4.63809062772023E-03 
548	 4.6398153791444E-03 
549	 4.64615750050235E-03 
550	 4.6543303522043E-03 
551	 4.65826845258282E-03 
552	 4.64918600847493E-03 
553	 4.64061466674375E-03 
554	 4.63662624464838E-03 
555	 4.63394825755634E-03 
556	 4.63408760966086E-03 
557	 4.6382462648635E-03 
558	 4.63986470654291E-03 
559	 4.63709312174259E-03 
560	 4.62889112583266E-03 
561	 4.61966524533967E-03 
562	 4.61225055980998E-03 
563	 4.60918922080404E-03 
564	 4.60560977058124E-03 
565	 4.59484604537856E-03 
566	 4.58156573873461E-03 
567	 4.56924987586508E-03 
568	 4.56459492200656E-03 
569	 4.56127632747349E-03 
570	 4.55447435324382E-03 
571	 4.54587253934436E-03 
572	 4.53545834411382E-03 
573	 4.52255470673249E-03 
574	 4.51118285472133E-03 
575	 4.50105094648957E-03 
576	 4.48121456861442E-03 
577	 4.46291020479363E-03 
578	 4.45908552471646E-03 
579	 4.44366593621541E-03 
580	 0.004419485282776 
581	 4.41598874090951E-03 
582	 4.41327981399784E-03 
583	 4.4005475323409E-03 
584	 4.38997455994727E-03 
585	 4.38393702907635E-03 
586	 4.38458696235444E-03 
587	 4.37763856804974E-03 
588	 4.36190110462112E-03 
589	 4.3560885325469E-03 
590	 4.35056520193321E-03 
591	 4.33611073678513E-03 
592	 4.32973988664263E-03 
593	 4.32561977277749E-03 
594	 4.29708843465099E-03 
595	 4.27452488492737E-03 
596	 4.26899339015259E-03 
597	 4.24873506362657E-03 
598	 4.22293967854166E-03 
599	 4.21067361931869E-03 
600	 4.19693033649121E-03 
601	 4.17839569384468E-03 
602	 4.15813591917149E-03 
603	 4.13884699652592E-03 
604	 4.12243550828577E-03 
605	 4.10438529630428E-03 
606	 4.08483414424043E-03 
607	 4.06576150955178E-03 
608	 4.05034052675879E-03 
609	 4.03823742817663E-03 
610	 4.01623022545012E-03 
611	 3.99737456838012E-03 
612	 3.99909954760716E-03 
613	 3.98257584637561E-03 
614	 3.94796601589429E-03 
615	 3.93126829504244E-03 
616	 3.91464003854548E-03 
617	 3.88805708946033E-03 
618	 3.87155780740771E-03 
619	 3.86064209743733E-03 
620	 3.84079296624416E-03 
621	 3.82038259390853E-03 
622	 3.80037234355207E-03 
623	 3.77291790974737E-03 
624	 3.74548886251726E-03 
625	 3.72603100815141E-03 
626	 3.70308922641701E-03 
627	 3.67592970125094E-03 
628	 3.65001657716498E-03 
629	 3.62492358549412E-03 
630	 3.60191225023222E-03 
631	 3.59143967342078E-03 
632	 3.58063344364781E-03 
633	 3.54641547673205E-03 
634	 3.51723539187727E-03 
635	 3.50031489994651E-03 
636	 3.48729678901836E-03 
637	 3.47017109228106E-03 
638	 3.44291040704762E-03 
639	 3.41899944624519E-03 
640	 3.3994158415905E-03 
641	 3.37893552192386E-03 
642	 3.36264011302495E-03 
643	 3.3503082700448E-03 
644	 3.32804850462792E-03 
645	 3.30506848970834E-03 
646	 3.2951006620555E-03 
647	 3.27803367581159E-03 
648	 3.25262257662569E-03 
649	 3.23372110563987E-03 
650	 3.21511943492671E-03 
651	 3.19364494280798E-03 
652	 3.18107898140172E-03 
653	 3.17144580866108E-03 
654	 3.14948255277702E-03 
655	 3.12308340704093E-03 
656	 3.09835106290443E-03 
657	 3.09003062461373E-03 
658	 3.08615305993541E-03 
659	 3.0733915029591E-03 
660	 3.06325414069732E-03 
661	 3.05364945405046E-03 
662	 3.03093204241119E-03 
663	 3.01154731567585E-03 
664	 3.00303070776111E-03 
665	 2.99154597951566E-03 
666	 2.98105075479588E-03 
667	 2.98091310216584E-03 
668	 2.97144436101626E-03 
669	 2.95185532557197E-03 
670	 2.94399936122193E-03 
671	 2.93582299615913E-03 
672	 2.9187169066103E-03 
673	 2.91790110794041E-03 
674	 2.92319011114212E-03 
675	 2.89695106821429E-03 
676	 2.88271206690464E-03 
677	 2.89178223505641E-03 
678	 2.88816088671961E-03 
679	 2.87680510590539E-03 
680	 2.86741541950632E-03 
681	 2.86930263168915E-03 
682	 2.87666469562727E-03 
683	 2.86132913126328E-03 
684	 2.85165498093698E-03 
