Wavelength	12H00007.asd
325	 1.87158293040027E-05 
326	 6.56542820069954E-05 
327	 7.00952091235572E-05 
328	 2.32802970452274E-05 
329	 9.0735631834669E-06 
330	 2.12820635532829E-05 
331	 4.87190081811151E-05 
332	 4.25162029248897E-05 
333	 1.49123019808515E-05 
334	 1.5759969837349E-05 
335	 2.05777221455195E-05 
336	 2.16486003472434E-05 
337	 1.63775488731869E-05 
338	 2.5981424083983E-05 
339	 6.59305903222877E-05 
340	 6.1707447478234E-05 
341	 1.99053873349337E-05 
342	-1.77971406397556E-05 
343	-1.13868518308778E-05 
344	 4.04474279914622E-05 
345	 5.37933765225803E-05 
346	 5.55418468959344E-05 
347	 7.78556191629025E-05 
348	 7.8954374366366E-05 
349	 6.10634419174178E-05 
350	 4.71076050620835E-05 
351	 4.27789705164836E-05 
352	 4.82553983355428E-05 
353	 4.69524845036201E-05 
354	 3.5328215398616E-05 
355	 1.1688401245405E-05 
356	 1.79481255911517E-05 
357	 4.76753366971138E-05 
358	 5.330031188846E-05 
359	 4.73968219864081E-05 
360	 3.73070369489589E-05 
361	 2.91853688503231E-05 
362	 2.62093887085242E-05 
363	 3.12391637254619E-05 
364	 3.34833120345395E-05 
365	 3.3691241311855E-05 
366	 4.66580939204874E-05 
367	 6.10050359151695E-05 
368	 6.76136758127878E-05 
369	 6.24730781170046E-05 
370	 5.18144551033758E-05 
371	 4.80563235255293E-05 
372	 4.44252748810112E-05 
373	 4.37453693372535E-05 
374	 6.74076360948946E-05 
375	 8.22692605724765E-05 
376	 6.26741564864252E-05 
377	 5.02266464344532E-05 
378	 5.37128791078158E-05 
379	 7.59790965938297E-05 
380	 9.4130206568619E-05 
381	 9.83765113608046E-05 
382	 9.1831607969815E-05 
383	 8.45844272539871E-05 
384	 8.6287220884109E-05 
385	 8.37059763078529E-05 
386	 8.18633646369873E-05 
387	 1.04682328103519E-04 
388	 1.08701380341456E-04 
389	 8.43111399398426E-05 
390	 9.54441358925879E-05 
391	 1.1390987959637E-04 
392	 9.84840002504189E-05 
393	 1.09466767784093E-04 
394	 1.44120228537612E-04 
395	 1.50789051805323E-04 
396	 1.49302156981201E-04 
397	 1.51847229681795E-04 
398	 1.63291653916498E-04 
399	 1.79080527823002E-04 
400	 1.91418253559485E-04 
401	 1.9434812262869E-04 
402	 1.92422316068623E-04 
403	 2.07911723354114E-04 
404	 2.30941861079617E-04 
405	 2.53975253018193E-04 
406	 2.83158939577879E-04 
407	 3.11325222757539E-04 
408	 3.20375588347171E-04 
409	 3.43115382387146E-04 
410	 3.88399118099806E-04 
411	 4.40319729903449E-04 
412	 4.93814818206484E-04 
413	 5.45823051261102E-04 
414	 6.16029872566547E-04 
415	 7.01822914393542E-04 
416	 7.83262269588901E-04 
417	 8.79924706971004E-04 
418	 1.00199754202545E-03 
419	 1.15038451096316E-03 
420	 1.32314823308507E-03 
421	 1.51659959453389E-03 
422	 1.73878383879922E-03 
423	 1.99274819961674E-03 
424	 2.27598059805072E-03 
425	 2.5955600678775E-03 
426	 2.95707218005446E-03 
427	 3.36148652079883E-03 
428	 3.81142369378181E-03 
429	 4.3089860248968E-03 
430	 4.8643390933144E-03 
431	 5.47961009376483E-03 
432	 6.14195292217162E-03 
433	 6.86851205948739E-03 
434	 7.6764317497798E-03 
435	 8.55220371611216E-03 
436	 9.49581109205116E-03 
437	 1.05112263942741E-02 
438	 1.16089615368937E-02 
439	 1.27859962130154E-02 
440	 1.40084310169391E-02 
441	 1.52423962977221E-02 
442	 1.64509967761227E-02 
443	 1.76149868295456E-02 
444	 1.86707263403614E-02 
445	 1.94952016011183E-02 
446	 2.00516279172948E-02 
447	 2.03052881851904E-02 
448	 2.02485753515094E-02 
449	 1.98707068952776E-02 
450	 1.91494619995545E-02 
451	 1.81781684639738E-02 
452	 1.70334983477937E-02 
453	 1.58175213249376E-02 
454	 1.45901219128477E-02 
455	 1.34082092542145E-02 
456	 1.22875520619949E-02 
457	 1.12673786475861E-02 
458	 1.04181375584779E-02 
459	 9.68425289791696E-03 
460	 9.03337789445836E-03 
461	 8.44685048128945E-03 
462	 7.92319455629171E-03 
463	 7.46596352512196E-03 
464	 7.02555083012589E-03 
465	 6.59027285651196E-03 
466	 6.17983872143114E-03 
467	 5.79438838672872E-03 
468	 5.43553278753208E-03 
469	 5.10522350691524E-03 
470	 4.80708359837858E-03 
471	 4.54630647383075E-03 
