Wavelength	12H00006.asd
325	 4.52573737766782E-05 
326	 8.71813805121483E-05 
327	 9.6486489791265E-05 
328	 6.56250218518038E-05 
329	 4.97051750650148E-05 
330	 4.80056280883248E-05 
331	 5.75460895293576E-05 
332	 5.65934147722173E-05 
333	 4.73554587041787E-05 
334	 4.689262719382E-05 
335	 3.63225795453553E-05 
336	 1.53608600132472E-05 
337	 6.04244294807821E-06 
338	 2.82099951276412E-05 
339	 9.23620016654332E-05 
340	 9.03244620306755E-05 
341	 3.71275246940876E-05 
342	 1.29539909931453E-05 
343	 2.61033543794494E-05 
344	 6.98560386529366E-05 
345	 7.86342046418928E-05 
346	 8.06068970346458E-05 
347	 1.06989619796458E-04 
348	 9.46553006307566E-05 
349	 5.50421978658356E-05 
350	 4.46600949570584E-05 
351	 4.5557752889092E-05 
352	 5.0580344116166E-05 
353	 6.0993082166626E-05 
354	 6.32123346959227E-05 
355	 4.22511523598089E-05 
356	 4.10051716983877E-05 
357	 5.83896626901338E-05 
358	 6.20356369848751E-05 
359	 5.1526396552873E-05 
360	 3.25843847348604E-05 
361	 5.02583236758871E-05 
362	 7.9696693521213E-05 
363	 7.72375509263724E-05 
364	 7.54383455124108E-05 
365	 7.89298476458487E-05 
366	 7.10068206353839E-05 
367	 7.41093944827958E-05 
368	 9.67481916131602E-05 
369	 7.16449078566516E-05 
370	 2.9644174740375E-05 
371	 4.5481468915295E-05 
372	 6.43881048102518E-05 
373	 7.23116632524234E-05 
374	 8.66252598224322E-05 
375	 9.378371726251E-05 
376	 8.32922350483774E-05 
377	 6.98258180341015E-05 
378	 6.56169240997118E-05 
379	 9.24322857146094E-05 
380	 1.12569808991973E-04 
381	 1.12630981852361E-04 
382	 1.05025051715999E-04 
383	 9.4381683325752E-05 
384	 8.55039641237379E-05 
385	 8.99459227822283E-05 
386	 1.03538031349567E-04 
387	 1.10990622308409E-04 
388	 1.05715517901218E-04 
389	 9.12919702099177E-05 
390	 1.08732239409136E-04 
391	 1.34419903133406E-04 
392	 1.3507217386987E-04 
393	 1.47468773349081E-04 
394	 1.68529100094971E-04 
395	 1.6181524602816E-04 
396	 1.56312885547425E-04 
397	 1.66944197412015E-04 
398	 1.76066440852593E-04 
399	 1.80183038560544E-04 
400	 1.76589408955139E-04 
401	 1.83546804308871E-04 
402	 2.04827980929309E-04 
403	 2.34846644441472E-04 
404	 2.56180060724355E-04 
405	 2.59629741753519E-04 
406	 2.86830958598646E-04 
407	 3.28097436079453E-04 
408	 3.49487495673761E-04 
409	 3.73635162137171E-04 
410	 4.0759732974583E-04 
411	 4.47722816988903E-04 
412	 4.94880316077759E-04 
413	 5.50402422171278E-04 
414	 6.24152393817169E-04 
415	 7.11167161531108E-04 
416	 7.91093711992333E-04 
417	 8.8814069488128E-04 
418	 1.01410382321928E-03 
419	 1.16609728227441E-03 
420	 1.34011308683673E-03 
421	 1.5304198937544E-03 
422	 1.74823880686528E-03 
423	 1.99870127468282E-03 
424	 2.28334590956596E-03 
425	 2.60156344254826E-03 
426	 2.95556049780917E-03 
427	 3.36219066539454E-03 
428	 3.82014581038319E-03 
429	 4.3209791711726E-03 
430	 4.87131658444459E-03 
431	 5.47633158695764E-03 
432	 6.14298002558168E-03 
433	 6.87702018427593E-03 
434	 7.68446788077648E-03 
435	 8.55917432628177E-03 
436	 9.50383521718493E-03 
437	 1.05269679505795E-02 
438	 1.16283269067922E-02 
439	 1.28008134932309E-02 
440	 1.40170682087036E-02 
441	 1.52478812253196E-02 
442	 1.64613697636999E-02 
443	 1.76293536495279E-02 
444	 1.86874860420118E-02 
445	 1.95204584821576E-02 
446	 2.00803500074716E-02 
447	 2.03265772077462E-02 
448	 2.02684850578366E-02 
449	 1.98936892579285E-02 
450	 1.91719118200551E-02 
451	 1.81994827032986E-02 
452	 1.70534460724984E-02 
453	 1.58348676211657E-02 
454	 1.46013125290734E-02 
455	 1.34085203464013E-02 
456	 1.22912709269855E-02 
457	 1.12810549288777E-02 
458	 1.04135702539283E-02 
459	 9.67472050970966E-03 
460	 9.04506497649455E-03 
461	 8.45891420773765E-03 
462	 7.92835335091925E-03 
463	 7.48230104696805E-03 
464	 7.04351169178711E-03 
465	 6.59956183545399E-03 
466	 6.1957819165206E-03 
467	 5.80963706413424E-03 
468	 5.43018137576038E-03 
469	 5.09781810063322E-03 
470	 4.8096189827139E-03 
471	 4.54428808857742E-03 
472	 4.32147977625819E-03 
473	 4.14452094343404E-03 
474	 3.99637116067833E-03 
475	 3.88194667231226E-03 
476	 3.80604212997802E-03 
477	 3.73806955502734E-03 
478	 3.68049084603716E-03 
479	 3.66441012852555E-03 
480	 3.65752560682037E-03 
481	 3.64636114121359E-03 
482	 3.66031224876405E-03 
483	 3.68909305849403E-03 
484	 3.71282717612136E-03 
485	 3.74359486167802E-03 
486	 3.78178135653238E-03 
487	 3.81585391494009E-03 
488	 3.8576170835098E-03 
489	 3.91635615698869E-03 
490	 3.98558758444014E-03 
491	 4.0590615124178E-03 
492	 4.12796616828976E-03 
493	 4.18726619461568E-03 
494	 4.23948948434867E-03 
495	 4.31182337543025E-03 
496	 4.38513229379109E-03 
497	 4.43497357047485E-03 
498	 4.49108466078811E-03 
499	 4.5529929481098E-03 
500	 4.59670019295899E-03 
501	 4.63693690805312E-03 
502	 4.68323733228164E-03 
503	 4.7403397217343E-03 
504	 4.79432445977301E-03 
505	 4.81973160754438E-03 
506	 4.83882319250015E-03 
507	 4.8613175363262E-03 
508	 4.89509170565923E-03 
509	 4.92837009572608E-03 
510	 4.94998559681727E-03 
511	 4.97143205284486E-03 
512	 4.99191449558103E-03 
513	 5.00347627482141E-03 
514	 5.01147581700605E-03 
515	 0.005020087977417 
516	 5.03905022155498E-03 
517	 5.05760930535369E-03 
518	 5.05915639828056E-03 
519	 5.06769041567861E-03 
520	 5.0854980370301E-03 
521	 5.09626950064191E-03 
522	 5.10323012707804E-03 
523	 5.10928165955403E-03 
524	 5.11536183322223E-03 
525	 5.12267454545614E-03 
526	 5.13275442725714E-03 
527	 5.14661705351032E-03 
528	 5.16177574157941E-03 
529	 5.16307109300919E-03 
530	 5.16434724966866E-03 
531	 5.18303804826279E-03 
532	 5.19544562624285E-03 
533	 5.19895760307465E-03 
534	 5.20356653294585E-03 
535	 5.21109172328465E-03 
536	 5.22287858209833E-03 
537	 5.23793093065626E-03 
538	 5.25268702551514E-03 
539	 5.26139703530609E-03 
540	 5.26744727496633E-03 
541	 5.27246496748645E-03 
542	 5.27814338860998E-03 
543	 5.2852311933665E-03 
544	 0.005293956292099 
545	 5.29796000454858E-03 
546	 5.2975133440764E-03 
547	 5.29681069126413E-03 
548	 5.30006451383113E-03 
549	 5.30808983571648E-03 
550	 5.3092122216387E-03 
551	 5.30602550154856E-03 
552	 5.30525630043025E-03 
553	 5.29872048754621E-03 
554	 5.28763607402353E-03 
555	 5.28531499829686E-03 
556	 5.28684585308273E-03 
557	 5.28760454423904E-03 
558	 5.28240647795208E-03 
559	 5.27120529551028E-03 
560	 5.25580758155119E-03 
561	 5.24482980486297E-03 
562	 5.24100537203275E-03 
563	 5.23328755379911E-03 
564	 5.22261502116182E-03 
565	 5.21184521537815E-03 
566	 5.19951770322159E-03 
567	 5.18656670422954E-03 
568	 5.17675220813444E-03 
569	 5.16674448852526E-03 
570	 5.1541814020074E-03 
571	 5.1415166153056E-03 
572	 5.12900192324454E-03 
573	 5.11656004880016E-03 
574	 5.10275183891846E-03 
575	 5.08642500325341E-03 
576	 5.06557398367596E-03 
577	 5.04366648143383E-03 
578	 5.02455525068706E-03 
579	 5.00402187199371E-03 
580	 4.98388678311329E-03 
581	 4.97154991812615E-03 
582	 4.96574654009832E-03 
583	 4.9639380935436E-03 
584	 4.95309204991095E-03 
585	 4.93820324804994E-03 
586	 4.93200074564004E-03 
587	 4.92356429766396E-03 
588	 4.91038977159414E-03 
589	 4.8986833698439E-03 
590	 4.88222842794598E-03 
591	 4.85629699353759E-03 
592	 4.84678612884091E-03 
593	 4.84602518787294E-03 
594	 4.81747723212361E-03 
595	 4.79127285285922E-03 
596	 4.77824532357496E-03 
597	 4.74839743789765E-03 
598	 4.71605649171398E-03 
599	 4.70770761086477E-03 
600	 4.69130093839653E-03 
601	 4.66182226702921E-03 
602	 4.63708224409124E-03 
603	 4.61415950697906E-03 
604	 4.59025098996639E-03 
605	 4.56187798674667E-03 
606	 4.53385797930524E-03 
607	 4.52082729677149E-03 
608	 4.5035715503289E-03 
609	 4.47676322369604E-03 
610	 4.45557100528246E-03 
611	 4.43911957078514E-03 
612	 4.42457356452092E-03 
613	 4.40099180142562E-03 
614	 4.37063937602106E-03 
615	 4.35282797570636E-03 
616	 4.32962858399936E-03 
617	 4.29184673355906E-03 
618	 4.27014311231689E-03 
619	 4.25565240030959E-03 
620	 4.22089993109474E-03 
621	 4.19108114035347E-03 
622	 4.1705132001589E-03 
623	 4.13727781457122E-03 
624	 4.10419428131039E-03 
625	 4.08540062330688E-03 
626	 4.06231247951137E-03 
627	 4.03311284124985E-03 
628	 4.00532127916534E-03 
629	 3.97761312335052E-03 
630	 3.95009238981857E-03 
631	 3.92846605097203E-03 
632	 3.90492500640227E-03 
633	 3.86532262344382E-03 
634	 3.83126709867897E-03 
635	 3.80774603082524E-03 
636	 3.78542708016441E-03 
637	 3.76109985311671E-03 
638	 3.73244384644161E-03 
639	 3.70463876760536E-03 
640	 3.67858185225365E-03 
641	 3.6539050966197E-03 
642	 3.62876092269872E-03 
643	 3.60327942136405E-03 
644	 3.58394307127225E-03 
645	 3.56539960917295E-03 
646	 3.53999497955926E-03 
647	 3.51428932790988E-03 
648	 3.48960549264714E-03 
649	 3.46410068373417E-03 
650	 3.43952568752355E-03 
651	 3.41727136804737E-03 
652	 3.39758687786644E-03 
653	 3.38076721892479E-03 
654	 3.36916476145169E-03 
655	 3.34453372456537E-03 
656	 3.30718189606017E-03 
657	 3.29176833153995E-03 
658	 3.28404386035127E-03 
659	 3.26688162992071E-03 
660	 3.2487816239791E-03 
661	 3.22988886345954E-03 
662	 3.20438147492201E-03 
663	 3.18765408021367E-03 
664	 3.1836740339889E-03 
665	 3.15734020599199E-03 
666	 3.12734458080534E-03 
667	 3.12984444294658E-03 
668	 3.12600139872129E-03 
669	 3.10847435465004E-03 
670	 3.0970563832622E-03 
671	 3.08201429566792E-03 
672	 3.05717114742031E-03 
673	 3.05098161015815E-03 
674	 3.05415721121557E-03 
675	 3.02977028653304E-03 
676	 3.01622278179922E-03 
677	 3.02300000603252E-03 
678	 3.01766273313148E-03 
679	 3.0045806470005E-03 
680	 2.99238252392992E-03 
681	 2.98126041473217E-03 
682	 2.97132806328339E-03 
683	 2.96054402174124E-03 
684	 2.95338143115221E-03 
685	 2.95073972274095E-03 
686	 2.93572355358354E-03 
687	 2.9189989488691E-03 
688	 2.92388469270233E-03 
689	 2.92462547758676E-03 
690	 2.91451510478276E-03 
691	 2.90164887759222E-03 
692	 2.89441756638371E-03 
693	 2.89916211168273E-03 
694	 2.89734682985659E-03 
695	 2.8905191169496E-03 
696	 2.89429359405039E-03 
697	 2.8915817613497E-03 
698	 2.87727937722194E-03 
