Wavelength	10H00003.asd
325	 2.080129300914E-05 
326	 2.54183412099082E-05 
327	 3.25905341007165E-05 
328	 3.90705621734486E-05 
329	 2.51025766818673E-05 
330	 1.40713519843615E-05 
331	 2.6554833976102E-05 
332	 4.23118039874899E-05 
333	 4.71905440403627E-05 
334	 1.56189748683695E-05 
335	-1.38119511675552E-05 
336	-2.0977609302599E-05 
337	 1.21085004382278E-05 
338	 4.58556630755973E-05 
339	 4.43780924365361E-05 
340	 3.64548197053152E-05 
341	 2.79472976148955E-05 
342	 1.40537144583469E-05 
343	 2.99431297320392E-05 
344	 7.45870978765929E-05 
345	 7.47069667092233E-05 
346	 5.87078874332508E-05 
347	 6.03310479769464E-05 
348	 7.19605746972863E-05 
349	 8.19285233975147E-05 
350	 6.27748534872258E-05 
351	 4.41346065971724E-05 
352	 3.96107480709791E-05 
353	 4.98050480277687E-05 
354	 5.64508199226613E-05 
355	 3.86282187625056E-05 
356	 2.72686481440052E-05 
357	 3.16861642871245E-05 
358	 6.02069793960457E-05 
359	 7.34802667763268E-05 
360	 5.43436023793813E-05 
361	 4.24133371779043E-05 
362	 3.91226205347422E-05 
363	 3.86642063799615E-05 
364	 5.48148291511095E-05 
365	 7.9775864532126E-05 
366	 7.49987940286198E-05 
367	 6.79785230233019E-05 
368	 7.46340777295895E-05 
369	 5.79301082693735E-05 
370	 3.57102136106667E-05 
371	 5.11066159365221E-05 
372	 5.34929401355391E-05 
373	 3.86019590475403E-05 
374	 6.02846313704883E-05 
375	 8.14139987991813E-05 
376	 7.13615067311167E-05 
377	 6.39752813199729E-05 
378	 6.70484804823276E-05 
379	 8.63749687143391E-05 
380	 9.22868653859459E-05 
381	 7.95150965347335E-05 
382	 8.39143080456729E-05 
383	 8.57439323288512E-05 
384	 6.51396496348833E-05 
385	 6.69794531195969E-05 
386	 8.99977551183128E-05 
387	 1.09282473542783E-04 
388	 1.1022547665486E-04 
389	 9.43274477715879E-05 
390	 1.19204518150288E-04 
391	 1.45730252396498E-04 
392	 1.20424257564954E-04 
393	 1.18386583522747E-04 
394	 1.42193544320029E-04 
395	 1.41080583063209E-04 
396	 1.41783306042453E-04 
397	 1.58102865174054E-04 
398	 1.79842912878889E-04 
399	 1.94026396401947E-04 
400	 1.8268415648763E-04 
401	 1.73716077493861E-04 
402	 1.79661495689289E-04 
403	 2.1307160001813E-04 
404	 2.47369540621809E-04 
405	 2.63278518895011E-04 
406	 2.75603922576286E-04 
407	 2.9067785554191E-04 
408	 3.1650641067821E-04 
409	 3.4099075233843E-04 
410	 3.66059950570447E-04 
411	 4.18171393289902E-04 
412	 4.79375987144487E-04 
413	 5.31653950108549E-04 
414	 5.97889147626161E-04 
415	 6.74309513800927E-04 
416	 7.3492121542717E-04 
417	 8.19542426488905E-04 
418	 9.45231415039449E-04 
419	 1.09498449464818E-03 
