Wavelength	12H00002.asd
325	 4.48205293227158E-05 
326	 5.93847847438243E-05 
327	 4.55642433169936E-05 
328	 1.21825279321571E-05 
329	 1.85763112782242E-05 
330	 2.82225227056928E-05 
331	 9.44362892454887E-06 
332	 2.34385607856648E-06 
333	 7.51974354529204E-06 
334	 1.21207263032599E-05 
335	 7.3307835560922E-06 
336	-5.48762183875678E-06 
337	-4.30130244364199E-06 
338	 1.40720754915848E-05 
339	 4.75033180030441E-05 
340	 3.18052101528278E-05 
341	-1.64726670698535E-05 
342	-3.72413278728231E-05 
343	-1.82433816861525E-05 
344	 3.42835749418828E-05 
345	 5.82437803150823E-05 
346	 6.12506207716783E-05 
347	 5.68701303017681E-05 
348	 4.32322884653598E-05 
349	 3.03917966897926E-05 
350	 4.18174015131245E-05 
351	 5.31266563413182E-05 
352	 5.33931386858537E-05 
353	 4.65817475407958E-05 
354	 3.51505771498585E-05 
355	 2.1800016761958E-05 
356	 2.48667847075922E-05 
357	 4.13340140054212E-05 
358	 5.02392238207614E-05 
359	 5.23916536236006E-05 
360	 4.83936587765481E-05 
361	 4.17972510130934E-05 
362	 3.85542265601837E-05 
363	 4.60040452638056E-05 
364	 6.02965116904936E-05 
365	 7.30217076910123E-05 
366	 5.96850093605334E-05 
367	 4.71342341535416E-05 
368	 5.23444791571577E-05 
369	 4.93434896654743E-05 
370	 4.41921297760132E-05 
371	 5.5285336213064E-05 
372	 5.86074245655862E-05 
373	 5.54437960918011E-05 
374	 8.97430578320557E-05 
375	 1.04775454512461E-04 
376	 5.85928847767998E-05 
377	 4.81837795625425E-05 
378	 6.98732059527054E-05 
379	 7.53738014047563E-05 
380	 7.50992200914008E-05 
381	 7.38534760987258E-05 
382	 8.73054668491116E-05 
383	 9.67380267117137E-05 
384	 8.34280446841197E-05 
385	 7.06535848121219E-05 
386	 6.86284006490001E-05 
387	 9.2138864931837E-05 
388	 1.07230458368007E-04 
389	 1.02431830697915E-04 
390	 1.0730321006652E-04 
391	 1.1788759776808E-04 
392	 1.25956577623207E-04 
393	 1.37781097699863E-04 
394	 1.50029744809394E-04 
395	 1.4864127077664E-04 
396	 1.47394674014874E-04 
397	 1.55017854861076E-04 
398	 1.76024892735617E-04 
399	 1.92024028671199E-04 
400	 1.72649749024575E-04 
401	 1.78430421949829E-04 
402	 2.14361428775812E-04 
403	 2.32278724680579E-04 
404	 2.41940161697289E-04 
405	 2.52381563124512E-04 
406	 2.72643649697036E-04 
407	 2.98281956415385E-04 
408	 3.16033411858798E-04 
409	 3.36771129850846E-04 
410	 3.68457295065748E-04 
411	 4.29112815220461E-04 
412	 4.94587122130493E-04 
413	 5.42372765361605E-04 
414	 6.17872625127008E-04 
415	 7.12907902315992E-04 
416	 7.7799740230396E-04 
417	 8.66557126158723E-04 
418	 1.00092567112903E-03 
419	 1.15814376513289E-03 
