Wavelength	11H00002.asd
325	 8.85763403970778E-05 
326	 8.0690829786038E-05 
327	 6.82672241369008E-05 
328	 5.85827496365849E-05 
329	 5.64988119229669E-05 
330	 6.25320097228126E-05 
331	 7.46560577753413E-05 
332	 5.73853076614249E-05 
333	 2.74598128783489E-05 
334	 4.11826335144611E-05 
335	 4.20949349829844E-05 
336	 1.8623834038785E-05 
337	 8.40389715521963E-06 
338	 2.56178743632246E-05 
339	 7.60235591045865E-05 
340	 7.41224400424776E-05 
341	 3.05903040674702E-05 
342	 5.07314721343216E-06 
343	 1.38134039943515E-05 
344	 5.54313615428448E-05 
345	 7.85983330735873E-05 
346	 9.28651219323606E-05 
347	 1.11348328702416E-04 
348	 1.03576751303518E-04 
349	 7.64641124745732E-05 
350	 5.60018169868322E-05 
351	 5.97376131755648E-05 
352	 8.53947324479562E-05 
353	 7.07311310812504E-05 
354	 4.35587875910505E-05 
355	 4.30925089611121E-05 
356	 5.12173935150301E-05 
357	 6.16656892577923E-05 
358	 6.73552128444576E-05 
359	 7.45959752101048E-05 
360	 8.34033890624758E-05 
361	 6.8917745072295E-05 
362	 5.28386630655066E-05 
363	 7.05210974426752E-05 
364	 8.2461460147265E-05 
365	 7.87111878919997E-05 
366	 6.27130680440005E-05 
367	 5.75037993719467E-05 
368	 7.48501369129847E-05 
369	 6.76203457769135E-05 
370	 5.14228866807846E-05 
371	 6.88583745220974E-05 
372	 7.39061854740343E-05 
373	 6.27346909813433E-05 
374	 8.42365185454305E-05 
375	 1.02431601951436E-04 
376	 8.79511537227173E-05 
377	 7.57204116261465E-05 
378	 7.42993334782127E-05 
379	 8.7259267154626E-05 
380	 1.09996705713275E-04 
381	 1.30852835860688E-04 
382	 1.07233695374947E-04 
383	 8.03117652275733E-05 
384	 9.31280727095824E-05 
385	 1.11755887842417E-04 
386	 1.2559666217136E-04 
387	 1.27447350648888E-04 
388	 1.20111678111076E-04 
389	 1.08730778327325E-04 
390	 1.12132069150859E-04 
391	 1.25770287712917E-04 
392	 1.4151051205356E-04 
393	 1.60478350826796E-04 
394	 1.76982742459717E-04 
395	 1.75640213086357E-04 
396	 1.71271891608144E-04 
397	 1.74259476603989E-04 
398	 1.93192134008015E-04 
399	 2.15731108209469E-04 
400	 2.21950236832804E-04 
401	 2.16448506194594E-04 
402	 2.10344395675355E-04 
403	 2.40057201827057E-04 
404	 2.68028975408248E-04 
405	 2.69336660575577E-04 
406	 2.90411307124447E-04 
407	 3.23532829398833E-04 
408	 3.3720661637643E-04 
409	 3.54701883810025E-04 
410	 3.86911389981306E-04 
411	 4.47004847316057E-04 
412	 5.09682484340963E-04 
413	 5.51759607566461E-04 
414	 6.21407268435123E-04 
415	 7.12104764949135E-04 
416	 7.76426446507094E-04 
417	 8.66059167475835E-04 
418	 1.0026672180727E-03 
419	 1.16613405196164E-03 
420	 1.34309154044983E-03 
421	 1.51824992671758E-03 
422	 1.72937984527324E-03 
423	 1.98430962396524E-03 
