Wavelength	11H00007.asd
325	 4.43872891959314E-05 
326	 3.79924235875106E-05 
327	 3.12064113492136E-05 
328	 3.35165457005605E-05 
329	 3.36319156994711E-05 
330	 2.8215609271782E-05 
331	 1.67754123394825E-05 
332	 3.09603192874038E-05 
333	 4.70420599888088E-05 
334	-8.89478561815363E-06 
335	-3.50080115746102E-05 
336	-7.941633023124E-06 
337	-8.23283571631207E-06 
338	-6.81515033805605E-07 
339	 4.69259448847581E-05 
340	 4.74381238231402E-05 
341	 9.12691747702431E-06 
342	-1.33931695699687E-05 
343	-1.32207301210565E-05 
344	 9.7918006007413E-06 
345	 3.18884266300391E-05 
346	 4.49712768688574E-05 
347	 4.43284964709239E-05 
348	 5.15748953698891E-05 
349	 5.86695913401393E-05 
350	 2.89813054273558E-05 
351	 1.81734384715131E-05 
352	 4.2123793811389E-05 
353	 4.94887549545899E-05 
354	 3.57823009015751E-05 
355	 2.17240485737098E-06 
356	-1.43570956690399E-06 
357	 2.48100437755105E-05 
358	 4.57984423031948E-05 
359	 4.85926342974371E-05 
360	 3.05273610244429E-05 
361	 3.02891759670923E-05 
362	 4.19009915503933E-05 
363	 4.97307117482931E-05 
364	 4.97144289733505E-05 
365	 4.41010431092511E-05 
366	 4.60840321371158E-05 
367	 5.46503657393972E-05 
368	 6.68245018940951E-05 
369	 6.45787475384665E-05 
370	 5.50451528802695E-05 
371	 5.7244653189202E-05 
372	 4.8465745513487E-05 
373	 0.000031595284888 
374	 5.02223731424065E-05 
375	 6.37749829357593E-05 
376	 4.01247169155054E-05 
377	 2.64135427986858E-05 
378	 3.31543098478316E-05 
379	 6.73194467914976E-05 
380	 8.41669875330726E-05 
381	 7.24882806904922E-05 
382	 7.21512032683693E-05 
383	 7.17033733776134E-05 
384	 5.90856673777162E-05 
385	 7.38098786229559E-05 
386	 1.06016995160823E-04 
387	 1.09696376589483E-04 
388	 1.06804359352476E-04 
389	 1.06743088684055E-04 
390	 1.11478828266771E-04 
391	 1.12147838291009E-04 
392	 9.78329590833596E-05 
393	 1.03229755060456E-04 
394	 1.28181265286876E-04 
395	 1.45525036949407E-04 
396	 1.61090984645081E-04 
397	 1.76298579930875E-04 
398	 1.81029867038846E-04 
399	 1.82428342890008E-04 
400	 1.93203740740648E-04 
401	 2.02603100886279E-04 
402	 2.09700455063055E-04 
403	 2.20944488108789E-04 
404	 2.37725742723686E-04 
405	 2.60331880290609E-04 
406	 2.82602075526365E-04 
407	 3.02587146424824E-04 
408	 3.1710429801303E-04 
409	 3.41659016010958E-04 
410	 3.81300572963741E-04 
411	 4.30632464034737E-04 
412	 4.8348458576976E-04 
413	 5.3546267946941E-04 
414	 6.15594075459689E-04 
415	 7.14544820673612E-04 
416	 7.93061614054683E-04 
417	 8.73268446346093E-04 
418	 9.72420003077171E-04 
419	 1.12556369683997E-03 
420	 1.31448500884956E-03 
421	 1.51000442988848E-03 
422	 1.72510647966279E-03 
423	 1.96900530668701E-03 
424	 2.25809982015123E-03 
425	 2.57912873704878E-03 
426	 2.92648986243605E-03 
427	 3.32431975069187E-03 
428	 3.77361232648215E-03 
429	 4.2678096305035E-03 
430	 4.81383728383664E-03 
431	 5.41559332090011E-03 
432	 6.07405868770194E-03 
433	 6.79923389516791E-03 
434	 7.60093403348278E-03 
435	 8.46559420900271E-03 
436	 9.39669635631653E-03 
437	 1.04085565776271E-02 
438	 1.14978503588189E-02 
439	 1.26569810629838E-02 
440	 1.38622586222917E-02 
