Wavelength	10H00008.asd
325	-4.94513688808915E-06 
326	 3.68478578794031E-05 
327	 3.20577647107219E-05 
328	-2.09285963765271E-05 
329	-2.41797343100204E-05 
330	-4.06572763351801E-06 
331	 1.23507404152374E-05 
332	 2.24814352225113E-05 
333	 2.49234131780352E-05 
334	 2.08999323545677E-05 
335	 4.44400667229554E-06 
336	-1.55041384173321E-05 
337	 1.00597949224225E-05 
338	 3.57505565958174E-05 
339	 1.99719113224743E-05 
340	 2.1702861930685E-05 
341	 3.20787917829009E-05 
342	-1.28554931389214E-06 
343	-7.72700415958857E-06 
344	 2.99014493842642E-05 
345	 6.18807846496435E-05 
346	 7.51555467818366E-05 
347	 6.2686824287502E-05 
348	 5.5532718540284E-05 
349	 5.52979074216037E-05 
350	 4.65735304993284E-05 
351	 4.27075804080558E-05 
352	 4.60996289775044E-05 
353	 3.76885048321676E-05 
354	 2.6066324211861E-05 
355	 2.32323559356901E-05 
356	 2.34026278620876E-05 
357	 2.5316767309357E-05 
358	 2.96948434954369E-05 
359	 3.08011237716437E-05 
360	 2.75451639314442E-05 
361	 3.55076898677233E-05 
362	 4.66842249683975E-05 
363	 4.69206514528097E-05 
364	 4.81939574265561E-05 
365	 5.15863955047123E-05 
366	 4.77372228971638E-05 
367	 5.18589486185875E-05 
368	 7.00187289763099E-05 
369	 6.06220113271115E-05 
370	 3.78402494011035E-05 
371	 3.94727812612168E-05 
372	 3.46303109462683E-05 
373	 2.44496661884216E-05 
374	 5.5943236687164E-05 
375	 7.80603878658472E-05 
376	 5.16693887050105E-05 
377	 5.15252409671368E-05 
378	 7.59843908645804E-05 
379	 9.22784156034447E-05 
380	 9.9143497374992E-05 
381	 9.61469464203561E-05 
382	 9.2257952030808E-05 
383	 9.15911145319482E-05 
384	 9.68243365081786E-05 
385	 8.98747200734957E-05 
386	 7.64335258187931E-05 
387	 8.14668398924025E-05 
388	 8.67724234033126E-05 
389	 8.65701162250974E-05 
390	 9.52575450942183E-05 
391	 1.03660872837169E-04 
392	 9.93849188366888E-05 
393	 1.12003663968469E-04 
394	 1.36834082450131E-04 
395	 1.35938239723806E-04 
396	 1.4129008082043E-04 
397	 1.66004670091888E-04 
398	 1.66587175012958E-04 
399	 1.60096767894727E-04 
400	 1.81384455998114E-04 
401	 1.9554703565905E-04 
402	 1.99151982183606E-04 
403	 2.16436799930341E-04 
404	 2.36460479167783E-04 
405	 2.51518744493117E-04 
406	 2.71968298110237E-04 
407	 2.94950584933755E-04 
408	 3.10962412286818E-04 
409	 3.29551150373067E-04 
410	 3.57356690542976E-04 
411	 4.08074991201962E-04 
412	 4.61505476264276E-04 
413	 4.99522003139376E-04 
414	 5.72791291451247E-04 
415	 6.72387884161491E-04 
416	 7.49347710226787E-04 
417	 8.24653055076439E-04 
418	 9.14642118188337E-04 
419	 1.05398204256629E-03 
420	 1.23077395019255E-03 
421	 1.42389004723102E-03 
422	 1.63329728737147E-03 
423	 1.86339087810412E-03 
424	 2.12647000684528E-03 
425	 2.42279714855547E-03 
426	 2.75417956686097E-03 
427	 3.12757317647661E-03 
428	 3.54697179337077E-03 
429	 4.01687645221108E-03 
430	 4.52865672554355E-03 
431	 5.08468363035938E-03 
432	 5.70321016270524E-03 
433	 6.38334723592371E-03 
434	 7.12505777048584E-03 
435	 7.9344227617036E-03 
436	 8.81212960024579E-03 
437	 9.75410722651318E-03 
438	 1.07734976828831E-02 
439	 1.18681425180525E-02 
440	 1.30023304369647E-02 
441	 1.41476577548578E-02 
442	 1.52742660689115E-02 
443	 0.016361792376985 
444	 1.73498661653797E-02 
445	 1.81200867334585E-02 
446	 0.018652559787896 
447	 1.89200273527839E-02 
448	 1.88737866609961E-02 
449	 1.85131725653893E-02 
450	 1.78471586027053E-02 
451	 1.69543675505055E-02 
452	 0.015901057983459 
453	 1.47677495174307E-02 
454	 1.36226439659601E-02 
455	 1.25306338281553E-02 
456	 1.14874353452812E-02 
457	 1.05301970962147E-02 
458	 9.73696983787021E-03 
459	 9.04879254390148E-03 
460	 8.4354553043112E-03 
461	 7.89797131683376E-03 
462	 7.42255840429299E-03 
463	 6.99314283174295E-03 
464	 6.57832180632329E-03 
465	 6.17230716765335E-03 
466	 5.79840058670166E-03 
467	 5.44151520012943E-03 
468	 5.0941375596221E-03 
469	 4.78015457194841E-03 
470	 4.50197364498037E-03 
471	 4.2536908906414E-03 
472	 4.05176210085466E-03 
473	 3.89434370477355E-03 
474	 3.74305466507262E-03 
475	 3.62348920418551E-03 
476	 3.56223308370563E-03 
477	 3.50883502442728E-03 
478	 3.4591565742249E-03 
479	 3.43686427222648E-03 
480	 3.43034086916843E-03 
481	 3.4325098808506E-03 
482	 3.4381845055526E-03 
483	 3.4507511344616E-03 
484	 3.47663773341986E-03 
485	 3.51118279782673E-03 
486	 3.55073528541836E-03 
487	 3.58799221345856E-03 
488	 3.62586683446513E-03 
489	 3.66838718333407E-03 
490	 3.73235214329365E-03 
491	 3.80679277207526E-03 
492	 3.86131869335561E-03 
493	 3.90761090303458E-03 
494	 3.95402713263713E-03 
