Wavelength	11H00008.asd
325	-2.57348960502598E-05 
326	 2.03621818433145E-05 
327	 4.57218514551209E-05 
328	 3.22803953490642E-05 
329	 1.20007433369072E-05 
330	 6.72237173722502E-06 
331	 3.20419218843936E-05 
332	 0.000037084943735 
333	 1.97368165739627E-05 
334	-7.30874349928971E-06 
335	-1.05165437659608E-05 
336	 1.45383358416489E-05 
337	 1.97636438204514E-05 
338	 2.07262734764877E-05 
339	 3.37436980959978E-05 
340	 4.30311824897702E-05 
341	 3.45691864331912E-05 
342	-2.45579521183447E-05 
343	-4.75572588404565E-05 
344	-1.16120311179201E-05 
345	 1.79152861137295E-05 
346	 4.24915493122671E-05 
347	 6.78553313002131E-05 
348	 5.58550484520399E-05 
349	 2.43942824849857E-05 
350	 3.5576449729872E-05 
351	 5.09667175716574E-05 
352	 5.4229937500921E-05 
353	 5.02476361102612E-05 
354	 3.91697787536495E-05 
355	 2.12015443681527E-05 
356	 2.02052942277691E-05 
357	 3.55905696282875E-05 
358	 5.09810055145859E-05 
359	 5.1109653596542E-05 
360	 3.07988975639001E-05 
361	 1.51651464746671E-05 
362	 1.62063873085753E-05 
363	 4.67039809266508E-05 
364	 5.7316121293079E-05 
365	 4.26716007305883E-05 
366	 3.53503495038058E-05 
367	 4.41203665014914E-05 
368	 6.95653089998888E-05 
369	 6.10143106965034E-05 
370	 3.4893326804698E-05 
371	 3.57136669211575E-05 
372	 3.52046778828759E-05 
373	 3.23610627706908E-05 
374	 5.95715161116118E-05 
375	 8.12841217505875E-05 
376	 6.86763649598553E-05 
377	 5.43372975928339E-05 
378	 5.07331558808583E-05 
379	 7.32945542288288E-05 
380	 8.77134710925458E-05 
381	 8.33005266331688E-05 
382	 7.8334099267791E-05 
383	 7.26910730740825E-05 
384	 6.59207387104932E-05 
385	 7.00854015808221E-05 
386	 8.302455218515E-05 
387	 9.34959415592238E-05 
388	 9.95423643952176E-05 
389	 1.00160983439909E-04 
390	 9.73200830843601E-05 
391	 9.82446975764471E-05 
392	 1.11089721103364E-04 
393	 1.30362037933519E-04 
394	 1.48331447694101E-04 
395	 1.46992638125672E-04 
396	 1.45270534664086E-04 
397	 1.5398887917317E-04 
398	 1.68170410076491E-04 
399	 1.8067046109853E-04 
400	 1.8115116860382E-04 
401	 1.87408768404666E-04 
402	 2.02522124875096E-04 
403	 2.17308508341335E-04 
404	 2.33067685742275E-04 
