Wavelength	12H00003.asd
325	 5.63269834054679E-05 
326	 5.90718011105834E-05 
327	 5.12354421333706E-05 
328	 3.84188087966347E-05 
329	 3.75622128694325E-05 
330	 3.08772813274241E-05 
331	 5.99479659449785E-06 
332	 1.17455952260904E-05 
333	 3.74423226393727E-05 
334	 3.8850467804388E-05 
335	 3.77773521219136E-05 
336	 4.0353212745533E-05 
337	 4.17199842668997E-05 
338	 4.51415073547886E-05 
339	 5.37698072782346E-05 
340	 7.20232788775513E-05 
341	 8.13933096470769E-05 
342	 3.25063227775001E-05 
343	 1.55316144894084E-05 
344	 5.44894812884506E-05 
345	 9.05985373330932E-05 
346	 1.06509023989194E-04 
347	 9.18905224450383E-05 
348	 8.40154602582813E-05 
349	 8.37986808045802E-05 
350	 6.97070776367268E-05 
351	 6.5246679205817E-05 
352	 7.53262752443229E-05 
353	 7.07848342377035E-05 
354	 5.51528619210032E-05 
355	 3.60670565098737E-05 
356	 4.31931537438407E-05 
357	 6.68164542622328E-05 
358	 5.48197514059347E-05 
359	 4.74069617177057E-05 
360	 6.20027475164708E-05 
361	 6.4110735278491E-05 
362	 6.23878150294137E-05 
363	 7.52139613733061E-05 
364	 8.60377289998894E-05 
365	 8.66967619161292E-05 
366	 6.14654716944911E-05 
367	 5.34585701659629E-05 
368	 8.6202880483689E-05 
369	 8.95649112836832E-05 
370	 7.52403717625662E-05 
371	 8.59189970486562E-05 
372	 7.32169451501052E-05 
373	 4.04912530337289E-05 
374	 6.48453098815545E-05 
375	 9.63766197683658E-05 
376	 9.2334369085336E-05 
377	 8.59408850588523E-05 
378	 8.30067308127978E-05 
379	 8.2289589947222E-05 
380	 9.28556719697735E-05 
381	 1.1080382087901E-04 
382	 9.99706068056735E-05 
383	 9.0738611894849E-05 
384	 1.13800920996111E-04 
385	 1.19398311913038E-04 
386	 1.08638247347747E-04 
387	 1.12925601302886E-04 
388	 1.12489083656376E-04 
389	 1.03702723074782E-04 
390	 1.12588680028502E-04 
391	 1.29629621415231E-04 
392	 1.40294101977457E-04 
393	 1.53741422303243E-04 
394	 1.68672837907896E-04 
395	 1.78222207289873E-04 
396	 1.75778603485803E-04 
397	 1.62328661634661E-04 
398	 1.73955041089933E-04 
399	 1.92803346969378E-04 
400	 1.83432810805266E-04 
401	 1.85523390656222E-04 
402	 2.06237098796902E-04 
403	 2.30061225908823E-04 
404	 2.49646276099423E-04 
405	 2.61683434208845E-04 
406	 2.89899867855514E-04 
