Wavelength	12H00008.asd
325	 2.07537158903916E-05 
326	 2.93650227196546E-05 
327	 3.98694706338027E-05 
328	 4.60204598943158E-05 
329	 5.30033884186428E-05 
330	 5.08608762934681E-05 
331	 3.29398427277205E-05 
332	 3.52233222752091E-05 
333	 4.47022190944455E-05 
334	 1.40686353382171E-05 
335	-8.46979618707964E-06 
336	-8.21580774699011E-06 
337	-8.11706686371806E-06 
338	 7.74147052438472E-06 
339	 5.20504078292392E-05 
340	 7.42813363819442E-05 
341	 6.24417460764201E-05 
342	 6.06777245273496E-06 
343	-6.13088744827131E-06 
344	 4.39420588178069E-05 
345	 6.35383306240727E-05 
346	 5.92407363310735E-05 
347	 4.63005007900595E-05 
348	 4.73462138181496E-05 
349	 5.66951044343205E-05 
350	 4.35246890498005E-05 
351	 4.36147003727526E-05 
352	 6.25430473937077E-05 
353	 4.17336487961705E-05 
354	 1.3118711814688E-05 
355	 1.97167764447845E-05 
356	 2.152651227833E-05 
357	 1.94766226135207E-05 
358	 4.67568474856811E-05 
359	 6.19290848821131E-05 
360	 4.72154321585569E-05 
361	 4.1435889567537E-05 
362	 4.58361292137399E-05 
363	 5.52782760033112E-05 
364	 6.36099419168669E-05 
365	 6.57902934876162E-05 
366	 5.04186340043243E-05 
367	 4.62491506762117E-05 
368	 6.8141144241734E-05 
369	 6.31820118166875E-05 
370	 4.16481403849126E-05 
371	 3.636249560476E-05 
372	 3.75112237693376E-05 
373	 4.74588820187269E-05 
374	 8.93508975779195E-05 
375	 1.12751118433391E-04 
376	 7.91750176657766E-05 
377	 5.61078785143432E-05 
378	 5.51382790374834E-05 
379	 7.42010419759266E-05 
380	 8.48282889135022E-05 
381	 7.87418853019244E-05 
382	 7.67208859101954E-05 
383	 7.99522062921982E-05 
384	 8.80311232744739E-05 
385	 9.40871873971952E-05 
386	 9.93358766571088E-05 
387	 1.1423404609717E-04 
388	 1.14243836874881E-04 
389	 9.6634257094104E-05 
390	 1.12526367702516E-04 
391	 1.34498826113003E-04 
392	 1.23718899836479E-04 
393	 1.26682092845501E-04 
394	 1.45235939367264E-04 
395	 1.50309580761815E-04 
396	 1.54402164070119E-04 
397	 1.63197588635934E-04 
398	 1.6601651792147E-04 
399	 1.66737551373162E-04 
400	 1.72658592598999E-04 
401	 1.86732504648302E-04 
402	 2.06871600059869E-04 
403	 2.2222714477068E-04 
404	 2.35789764434645E-04 
405	 2.51139918854115E-04 
406	 2.80851305894137E-04 
407	 3.1346386774478E-04 
408	 3.18591654500752E-04 
409	 3.43748080927855E-04 
410	 3.97131435317092E-04 
411	 4.36403959466272E-04 
412	 4.77134072830827E-04 
413	 5.36920714252528E-04 
414	 6.1785397142527E-04 
415	 7.10993361873132E-04 
416	 7.90401468222395E-04 
417	 8.81483112826871E-04 
418	 9.98410223451397E-04 
419	 1.14776833709034E-03 
420	 1.32429321335823E-03 
421	 1.51921768874262E-03 
422	 1.73913661498139E-03 
423	 1.98962088063268E-03 
424	 2.27828410207944E-03 
425	 2.60332434443895E-03 
426	 2.96435709992312E-03 
427	 3.36279730720948E-03 
428	 3.80787864328859E-03 
429	 4.31443474640525E-03 
430	 4.87180072180585E-03 
431	 5.47927240609548E-03 
432	 6.14331120807328E-03 
433	 6.8735693364596E-03 
434	 7.67986155892641E-03 
435	 8.55683181504946E-03 
436	 9.50453199801248E-03 
437	 1.05238529578209E-02 
438	 1.16220244061085E-02 
439	 1.27955685780538E-02 
440	 1.40165449167924E-02 
441	 1.52565925809157E-02 
442	 1.64850316078921E-02 
443	 1.76497295707929E-02 
444	 1.86873929971727E-02 
445	 1.95067223605585E-02 
446	 0.020065939061971 
447	 2.03261565927425E-02 
448	 2.02711408736314E-02 
449	 1.98904526424934E-02 
450	 1.91656059952223E-02 
451	 0.018190152227498 
452	 1.70423314238687E-02 
453	 0.015830227475382 
454	 1.46032096906542E-02 
455	 1.34088220589241E-02 
456	 1.22846365096452E-02 
457	 1.12681275981337E-02 
458	 1.04114044804674E-02 
459	 9.67268348889298E-03 
460	 9.02568940850152E-03 
461	 8.44947657641947E-03 
462	 7.93391592011835E-03 
463	 7.4712720640767E-03 
464	 7.02530601867692E-03 
465	 6.58987087340457E-03 
466	 6.19136237768627E-03 
467	 5.81178477703516E-03 
468	 5.44089095933759E-03 
469	 5.09586649842816E-03 
470	 4.78896690843329E-03 
471	 4.5376986167719E-03 
472	 4.32237605670681E-03 
473	 4.13726520620275E-03 
474	 3.99036238563542E-03 
475	 3.8803829541172E-03 
476	 3.80448219953561E-03 
477	 3.73749185823606E-03 
478	 3.68055999258926E-03 
479	 3.65733560065883E-03 
480	 3.64685957471016E-03 
481	 3.64043254678977E-03 
482	 3.65846981313323E-03 
483	 3.68654546476205E-03 
484	 3.69997952330103E-03 
485	 3.7273336811507E-03 
486	 3.77133232110937E-03 
487	 3.8089103179896E-03 
488	 3.85359347950622E-03 
489	 3.91517888712081E-03 
490	 3.97553980863685E-03 
491	 4.03597420167628E-03 
492	 4.10905517687254E-03 
493	 4.17726842687768E-03 
494	 4.23585066043178E-03 
495	 4.29739680600487E-03 
496	 4.36142123347447E-03 
497	 4.4259806857402E-03 
498	 4.48572516227702E-03 
499	 4.53953935328178E-03 
500	 4.58902834354762E-03 
501	 4.63639331112993E-03 
502	 4.68333424187668E-03 
503	 4.73328970187744E-03 
504	 4.78019031352322E-03 
505	 4.81276325311647E-03 
506	 4.84030706940181E-03 
507	 4.8667009376051E-03 
508	 4.89421495892261E-03 
509	 4.92053014562006E-03 
510	 4.94320915716854E-03 
511	 4.96444941126207E-03 
512	 4.98305895688069E-03 
513	 4.99444266675569E-03 
514	 5.00550997574815E-03 
515	 5.01903585148685E-03 
516	 5.03023397673886E-03 
517	 5.03936217212929E-03 
518	 5.04736288351146E-03 
519	 5.06336933198661E-03 
520	 5.08567511905108E-03 
521	 5.10112041929332E-03 
522	 5.10455453972838E-03 
523	 5.09494444919069E-03 
524	 5.10091092939578E-03 
525	 5.11939872393191E-03 
526	 5.13199377885745E-03 
527	 5.14358991474927E-03 
528	 5.15414112562507E-03 
529	 5.15764341060223E-03 
530	 5.1632928831512E-03 
531	 5.18220527309763E-03 
532	 5.19350544394344E-03 
533	 5.19592546571664E-03 
534	 5.20173722059509E-03 
535	 5.21113684092593E-03 
536	 5.22361251959519E-03 
537	 5.23037559406587E-03 
538	 5.23761949243716E-03 
539	 5.26085795126037E-03 
540	 5.2718399941649E-03 
541	 5.26698276066936E-03 
542	 5.27630592232528E-03 
543	 5.28876923053536E-03 
544	 5.29190228469971E-03 
545	 5.29294258308257E-03 
546	 5.29390003581518E-03 
547	 0.005296610092874 
548	 5.29802304898253E-03 
549	 5.29751040255777E-03 
550	 5.3033354190287E-03 
551	 5.30774147797787E-03 
552	 5.29686453575152E-03 
553	 5.29070580238896E-03 
554	 5.29200471700198E-03 
555	 5.28462073022437E-03 
556	 0.005280237402584 
557	 5.28801446129066E-03 
558	 5.28255354895611E-03 
559	 5.26654520776448E-03 
560	 5.25970212674321E-03 
561	 5.24972238075115E-03 
562	 5.23471729391868E-03 
563	 5.23203341946375E-03 
564	 5.23169294194889E-03 
565	 5.21847231159603E-03 
566	 5.2025396514661E-03 
567	 5.18742051313437E-03 
568	 5.17514298166153E-03 
569	 5.16363293032024E-03 
570	 5.15116276959618E-03 
571	 5.13711548623734E-03 
572	 5.12210090513462E-03 
573	 5.10789233268956E-03 
574	 5.09265745727599E-03 
575	 5.07595478617483E-03 
576	 0.005060074118604 
577	 5.04194201699251E-03 
578	 5.01790572942286E-03 
579	 4.99407069936028E-03 
580	 4.97566768830262E-03 
581	 4.97387524549665E-03 
582	 4.97133600518351E-03 
583	 4.95806031236593E-03 
584	 4.94500279456252E-03 
585	 4.93419618692777E-03 
586	 4.9267464566126E-03 
587	 4.91856006894372E-03 
588	 4.90754389600765E-03 
589	 4.89180448527112E-03 
590	 4.87646484543496E-03 
591	 4.86607296535909E-03 
592	 4.84756154390576E-03 
593	 4.82328833027651E-03 
594	 4.80739103757861E-03 
595	 4.79166017044873E-03 
596	 4.77147649464699E-03 
597	 4.74238209630909E-03 
598	 4.71467795257187E-03 
599	 4.70470610640474E-03 
600	 4.68767634151306E-03 
601	 4.65960189597772E-03 
602	 4.63389522984904E-03 
603	 4.61179634308216E-03 
604	 4.59330685138811E-03 
605	 4.56718871055168E-03 
606	 4.53665214574849E-03 
607	 4.51461672066705E-03 
608	 4.49467119778797E-03 
609	 4.4745931626675E-03 
610	 4.45243737863327E-03 
611	 4.43423838770924E-03 
612	 4.42758129593573E-03 
613	 4.41038486760054E-03 
614	 4.38138296977778E-03 
